Number of available threads 24
Test name is Addition
Thread 	 Time 	 Iteration made 
0 	 1437.96 	 1621389881
1 	 1437.96 	 597389274
2 	 1437.96 	 910958653
3 	 1437.96 	 382431789
4 	 1437.96 	 876677835
5 	 1437.96 	 380224163
6 	 1437.96 	 898316214
7 	 1437.96 	 364639333
8 	 1437.96 	 890244977
9 	 1437.96 	 380851633
10 	 1437.96 	 758282820
11 	 1437.96 	 273140141
12 	 1437.96 	 745153218
13 	 1437.96 	 275613753
14 	 1437.96 	 757396225
15 	 1437.96 	 275916296
16 	 1437.96 	 739792727
17 	 1437.96 	 279427900
18 	 1437.96 	 336117285
19 	 1437.96 	 802360512
20 	 1437.96 	 349136337
21 	 1437.96 	 786141724
22 	 1437.44 	 794296603
23 	 1437.96 	 329658412
min 	 max 	 average 
273140141 		 1621389881 		 616898237
