Number of available threads 24
Test name is Comparesing
Thread 	 Time 	 Iteration made 
0 	 1438.05 	 1578916039
1 	 1438.05 	 657223231
2 	 1438.05 	 964364315
3 	 1438.05 	 453516478
4 	 1438.05 	 976715672
5 	 1438.05 	 450933671
6 	 1438.05 	 969010593
7 	 1438.05 	 464618000
8 	 1438.05 	 992760832
9 	 1438.05 	 446770660
10 	 1438.05 	 746426035
11 	 1438.05 	 319961893
12 	 1438.05 	 747717966
13 	 1438.05 	 341491995
14 	 1438.05 	 747675624
15 	 1438.05 	 333925122
16 	 1438.05 	 748744468
17 	 1438.05 	 341016382
18 	 1438.05 	 350821993
19 	 1438.05 	 835649440
20 	 1438.05 	 353088329
21 	 1438.05 	 842853873
22 	 1437.52 	 838274071
23 	 1438.05 	 358983628
min 	 max 	 average 
319961893 		 1578916039 		 660894179
