Number of available threads 24
Test name is Division
Thread 	 Time 	 Iteration made 
0 	 1438.03 	 1388033743
1 	 1438.03 	 583496830
2 	 1438.03 	 798343535
3 	 1438.03 	 430101228
4 	 1438.03 	 845651437
5 	 1438.03 	 415329983
6 	 1438.03 	 785783077
7 	 1438.03 	 439975127
8 	 1438.03 	 817357891
9 	 1438.03 	 426976147
10 	 1438.03 	 672624319
11 	 1438.03 	 252641143
12 	 1438.03 	 680327956
13 	 1438.03 	 248062968
14 	 1438.03 	 693246123
15 	 1438.03 	 246765179
16 	 1438.03 	 697658687
17 	 1438.03 	 249762197
18 	 1438.03 	 290641780
19 	 1438.03 	 736951388
20 	 1438.03 	 266797873
21 	 1438.03 	 734806213
22 	 1437.54 	 741583830
23 	 1438.03 	 265776012
min 	 max 	 average 
246765179 		 1388033743 		 571195611
