Number of available threads 24
Test name is Modulus
Thread 	 Time 	 Iteration made 
0 	 1438.13 	 1163537202
1 	 1438.13 	 509710308
2 	 1438.13 	 726846269
3 	 1438.13 	 315691337
4 	 1438.13 	 752179807
5 	 1438.13 	 313685673
6 	 1438.13 	 742368420
7 	 1438.13 	 320855971
8 	 1438.13 	 758721253
9 	 1438.13 	 315584604
10 	 1438.13 	 493056260
11 	 1438.13 	 288573299
12 	 1438.13 	 482992014
13 	 1438.13 	 288188956
14 	 1438.13 	 536795718
15 	 1438.13 	 287811927
16 	 1438.13 	 517574558
17 	 1438.13 	 289522011
18 	 1438.13 	 301308156
19 	 1438.13 	 570621273
20 	 1438.13 	 305831985
21 	 1438.13 	 586242861
22 	 1437.81 	 546884977
23 	 1438.14 	 304042783
min 	 max 	 average 
287811927 		 1163537202 		 488276150
