Number of available threads 24
Test name is SQRT
Thread 	 Time 	 Iteration made 
0 	 1437.98 	 576216958
1 	 1437.98 	 276724824
2 	 1437.98 	 299070047
3 	 1437.97 	 184786782
4 	 1437.97 	 300564837
5 	 1437.98 	 181677861
6 	 1437.98 	 296818924
7 	 1437.97 	 185893100
8 	 1437.97 	 301261936
9 	 1437.97 	 185852160
10 	 1437.97 	 241419262
11 	 1437.98 	 160999759
12 	 1437.97 	 242330434
13 	 1437.98 	 165252520
14 	 1437.98 	 234358392
15 	 1437.97 	 163655786
16 	 1437.97 	 236901762
17 	 1437.98 	 165270803
18 	 1437.98 	 169457149
19 	 1437.97 	 237536761
20 	 1437.98 	 161026872
21 	 1437.98 	 239399425
22 	 1437.4 	 237011273
23 	 1437.98 	 161533419
min 	 max 	 average 
160999759 		 576216958 		 233542543
