Number of available threads 24
Test name is Sinus
Thread 	 Time 	 Iteration made 
0 	 1438.17 	 458000079
1 	 1438.17 	 214801324
2 	 1438.17 	 223551022
3 	 1438.17 	 148867606
4 	 1438.17 	 222987071
5 	 1438.17 	 154469386
6 	 1438.17 	 219314204
7 	 1438.17 	 155251153
8 	 1438.17 	 221204012
9 	 1438.17 	 157158685
10 	 1438.17 	 169847687
11 	 1438.17 	 135313852
12 	 1438.17 	 177310266
13 	 1438.17 	 176846967
14 	 1438.17 	 138946745
15 	 1438.17 	 176840822
16 	 1438.17 	 135381944
17 	 1438.17 	 175579531
18 	 1438.17 	 117426851
19 	 1438.17 	 296378147
20 	 1438.17 	 116965456
21 	 1438.17 	 117963175
22 	 1437.81 	 311439045
23 	 1438.17 	 102859706
min 	 max 	 average 
102859706 		 458000079 		 188529364
