Number of available threads 24
Test name is Asin
Thread 	 Time 	 Iteration made 
0 	 1437.95 	 289869401
1 	 1437.95 	 147048437
2 	 1437.94 	 148069279
3 	 1437.95 	 74988829
4 	 1437.94 	 145625807
5 	 1437.94 	 74450892
6 	 1437.94 	 148076855
7 	 1437.95 	 74249317
8 	 1437.94 	 146487857
9 	 1437.94 	 74260716
10 	 1437.94 	 120851405
11 	 1437.94 	 60539086
12 	 1437.94 	 119710214
13 	 1437.94 	 60805456
14 	 1437.94 	 120186705
15 	 1437.94 	 60878668
16 	 1437.94 	 119887877
17 	 1437.95 	 60569441
18 	 1437.94 	 66278975
19 	 1437.94 	 130225176
20 	 1437.94 	 64732200
21 	 1437.94 	 130495774
22 	 1437.83 	 129962724
23 	 1437.94 	 65775488
min 	 max 	 average 
60539086 		 289869401 		 109751107
