Number of available threads 24
Test name is Sudden drops
Thread 	 Time 	 Iteration made 
0 	 699.87 	 599999998
1 	 699.87 	 499999998
2 	 699.87 	 449999998
3 	 699.87 	 538876742
4 	 699.87 	 500357201
5 	 699.87 	 499999998
6 	 699.87 	 549999998
7 	 699.87 	 454698236
8 	 699.87 	 549999998
9 	 699.87 	 499999998
10 	 699.87 	 349999998
11 	 699.87 	 299999998
12 	 699.87 	 349999998
13 	 699.87 	 276988797
14 	 699.87 	 299999998
15 	 699.87 	 267653850
16 	 699.87 	 349999998
17 	 699.87 	 299999998
18 	 699.87 	 337262170
19 	 699.87 	 349999998
20 	 699.87 	 349999998
21 	 699.87 	 399999998
22 	 699.29 	 334727318
23 	 699.87 	 399999998
min 	 max 	 average 
267653850 		 599999998 		 408773511
