Number of available threads 24
Test name is Sorted Array
Thread 	 Time 	 Iteration made 
0 	 1585.04 	 8
1 	 1589.06 	 8
2 	 1590.28 	 8
3 	 1589.06 	 8
4 	 1590.24 	 8
5 	 1589.73 	 8
6 	 1588.95 	 8
7 	 1587.38 	 8
8 	 1590.14 	 8
9 	 1589.68 	 8
10 	 1588.93 	 8
11 	 1590.14 	 8
12 	 1590.28 	 8
13 	 1587.41 	 8
14 	 1588.64 	 8
15 	 1587.65 	 8
16 	 1590.25 	 8
17 	 1588.93 	 8
18 	 1590.26 	 8
19 	 1587.4 	 8
20 	 1588.99 	 8
21 	 1588.76 	 8
22 	 1590.2 	 8
23 	 1589.44 	 8
min 	 max 	 average 
8 		 8 		 8
