Number of available threads 160
Test name is Addition
Thread 	 Time 	 Iteration made 
0 	 3166.44 	 875340364
1 	 3166.39 	 748210363
2 	 3166.28 	 768178750
3 	 3166.26 	 927367408
4 	 3166.31 	 182270031
5 	 3166.33 	 167401372
6 	 3166.25 	 170227687
7 	 3166.41 	 217031731
8 	 3166.29 	 150146986
9 	 3166.46 	 164466009
10 	 3166.33 	 204412818
11 	 3166.47 	 181150484
12 	 3166.39 	 241173554
13 	 3166.52 	 75888302
14 	 3166.52 	 102206063
15 	 3166.41 	 99284914
16 	 3166.26 	 275511065
17 	 3166.52 	 217705465
18 	 3166.24 	 230498498
19 	 3166.3 	 250920045
20 	 3166.46 	 177707234
21 	 3166.33 	 137797500
22 	 3166.41 	 262436918
23 	 3166.37 	 345408234
24 	 3166.48 	 336420840
25 	 3166.39 	 208472525
26 	 3166.39 	 282809109
27 	 3166.25 	 220329816
28 	 3166.26 	 53509817
29 	 3166.23 	 53344420
30 	 3166.22 	 50321600
31 	 3166.22 	 31536893
32 	 3166.3 	 191715506
33 	 3166.24 	 32409500
34 	 3166.24 	 388293836
35 	 3166.23 	 32137497
36 	 3166.36 	 460563928
37 	 3166.2 	 91224754
38 	 3166.2 	 94011306
39 	 3166.27 	 153270189
40 	 3166.3 	 155532044
41 	 3166.19 	 95242218
42 	 3166.36 	 155027581
43 	 3166.34 	 156318107
44 	 3166.2 	 169668707
45 	 3166.34 	 158062272
46 	 3166.19 	 59306642
47 	 3166.15 	 109940483
48 	 3166.27 	 568583458
49 	 3166.16 	 73150990
50 	 3166.14 	 448550744
51 	 3166.2 	 358967986
52 	 3166.22 	 13114300
53 	 3166.19 	 11657240
54 	 3166.1 	 258907393
55 	 3166.18 	 11260666
56 	 3166.37 	 37240451
57 	 3166.16 	 10616535
58 	 3166.26 	 58299692
59 	 3165.67 	 37123523
60 	 3164.53 	 104356737
61 	 3165.49 	 59657092
62 	 3164.81 	 50885578
63 	 3164.61 	 119097684
64 	 3164.69 	 23457311
65 	 3165.26 	 33150335
66 	 3164.67 	 117196325
67 	 3166.27 	 67460109
68 	 3164.58 	 51787474
69 	 3164.77 	 39734594
70 	 3166.1 	 38897019
71 	 3166.1 	 36599045
72 	 3166.09 	 32978931
73 	 3166.12 	 36668535
74 	 3166 	 266985388
75 	 3166.02 	 30261098
76 	 3166.24 	 56434424
77 	 3167 	 12803473
78 	 3167.02 	 101191610
79 	 3165.48 	 29611178
80 	 3165.1 	 27958219
81 	 3165.02 	 129309655
82 	 3164.36 	 63419949
83 	 3164.98 	 29194539
84 	 3164.95 	 166621160
85 	 3164.36 	 117674108
86 	 3164.45 	 18688403
87 	 3164.3 	 9128838
88 	 3163.23 	 111276399
89 	 3164.4 	 62985273
90 	 3164.27 	 19422357
91 	 3164.23 	 23473702
92 	 3164.45 	 105457449
93 	 3164.97 	 104202975
94 	 3165.79 	 26316178
95 	 3165.77 	 25949522
96 	 3165.77 	 28048997
97 	 3165.79 	 35376851
98 	 3165.78 	 32692191
99 	 3165.97 	 169388428
100 	 3165.86 	 24665008
101 	 3165.85 	 24393999
102 	 3165.97 	 22698336
103 	 3165.71 	 20044302
104 	 3165.72 	 19594848
105 	 3165.68 	 19980155
106 	 3165.66 	 469329817
107 	 3165.65 	 21247060
108 	 3165.85 	 53995043
109 	 3165.84 	 49681472
110 	 3165.78 	 98979468
111 	 3165.61 	 100201932
112 	 3165.48 	 38456011
113 	 3165.45 	 41945131
114 	 3165.43 	 39787180
115 	 3165.36 	 161429061
116 	 3165.35 	 302078436
117 	 3165.53 	 102048246
118 	 3165.5 	 92477831
119 	 3165.48 	 71459419
120 	 3165.52 	 90986076
121 	 3165.35 	 82842777
122 	 3165.33 	 142995777
123 	 3165.3 	 129650748
124 	 3165.29 	 61368153
125 	 3165.44 	 98921488
126 	 3165.41 	 92366424
127 	 3165.34 	 90951536
128 	 3165.36 	 64560931
129 	 3165.31 	 141465826
130 	 3165.34 	 132972200
131 	 3165.19 	 367990589
132 	 3165.19 	 59259433
133 	 3165.12 	 60612842
134 	 3165.11 	 58790804
135 	 3165.11 	 58121814
136 	 3164.98 	 114005533
137 	 3164.95 	 110504981
138 	 3165.44 	 195096807
139 	 3164.93 	 290974144
140 	 3164.91 	 66646472
141 	 3164.89 	 63090349
142 	 3164.83 	 57664095
143 	 3164.81 	 56776602
144 	 3164.99 	 62810911
145 	 3164.69 	 62578225
146 	 3164.64 	 58786342
147 	 3164.67 	 54186778
148 	 3164.62 	 81675395
149 	 3164.78 	 27121875
150 	 3164.68 	 27082399
151 	 3164.67 	 27986932
152 	 3164.65 	 13041912
153 	 3164.62 	 12648257
154 	 3164.58 	 13031002
155 	 3164.56 	 12853096
156 	 3164.51 	 8953556
157 	 3164.27 	 27782630
158 	 3164.25 	 27450443
159 	 3164.22 	 381302585
min 	 max 	 average 
8953556 		 927367408 		 129861781
