Number of available threads 160
Test name is Comparesing
Thread 	 Time 	 Iteration made 
0 	 3160.81 	 1511552185
1 	 3160.87 	 643759780
2 	 3160.88 	 757133483
3 	 3160.83 	 847014330
4 	 3160.78 	 296215217
5 	 3160.79 	 173043851
6 	 3160.76 	 237628968
7 	 3160.78 	 232315911
8 	 3160.78 	 157022706
9 	 3160.78 	 195851697
10 	 3160.72 	 258353148
11 	 3160.79 	 247261460
12 	 3160.7 	 94367718
13 	 3162 	 315377096
14 	 3160.84 	 236295801
15 	 3160.82 	 234611015
16 	 3160.78 	 220812002
17 	 3160.65 	 297344693
18 	 3160.88 	 286801173
19 	 3160.91 	 103067053
20 	 3160.81 	 28770188
21 	 3160.87 	 55826682
22 	 3160.63 	 649315248
23 	 3160.75 	 44388895
24 	 3160.71 	 46916525
25 	 3161.68 	 60243834
26 	 3160.83 	 29983907
27 	 3160.61 	 49347039
28 	 3160.88 	 46763577
29 	 3160.61 	 76413656
30 	 3160.86 	 45736383
31 	 3160.61 	 74190405
32 	 3160.66 	 44750238
33 	 3160.59 	 58176735
34 	 3160.8 	 36771473
35 	 3160.58 	 44323932
36 	 3160.8 	 392089665
37 	 3160.86 	 190725800
38 	 3160.7 	 373197662
39 	 3160.59 	 186136175
40 	 3160.72 	 357419957
41 	 3160.79 	 121344094
42 	 3160.68 	 98738266
43 	 3160.59 	 191425596
44 	 3160.82 	 590146822
45 	 3160.57 	 259308013
46 	 3160.61 	 91894849
47 	 3160.67 	 65125062
48 	 3160.69 	 228696135
49 	 3160.56 	 47700957
50 	 3160.61 	 44196341
51 	 3160.71 	 281027645
52 	 3160.55 	 422700532
53 	 3160.46 	 61669290
54 	 3160.47 	 59539301
55 	 3161.8 	 528027160
56 	 3160.44 	 57911527
57 	 3160.46 	 132852832
58 	 3160.43 	 51295054
59 	 3160.45 	 177099908
60 	 3160.42 	 29187948
61 	 3160.41 	 220360344
62 	 3160.16 	 365439676
63 	 3158.86 	 73636027
64 	 3159.38 	 675643764
65 	 3159.71 	 571300110
66 	 3158.96 	 74418029
67 	 3159.74 	 200385389
68 	 3159.59 	 185277954
69 	 3158.85 	 137321762
70 	 3159.43 	 113495836
71 	 3159.74 	 22720129
72 	 3159.56 	 140124749
73 	 3158.13 	 40754746
74 	 3158.88 	 37630668
75 	 3158.77 	 33867688
76 	 3157.2 	 16359419
77 	 3156.58 	 73348035
78 	 3158.61 	 14748425
79 	 3157.91 	 18143133
80 	 3160.22 	 557152189
81 	 3160.31 	 27931001
82 	 3160.35 	 30092791
83 	 3160.39 	 34300435
84 	 3160.44 	 235890988
85 	 3160.18 	 49143146
86 	 3160.16 	 45347090
87 	 3160.15 	 51659453
88 	 3160.21 	 53888853
89 	 3160.18 	 65781007
90 	 3160.12 	 60527679
91 	 3160.11 	 67960587
92 	 3160.13 	 331162716
93 	 3160.13 	 58531365
94 	 3160.23 	 60676188
95 	 3160.11 	 47239967
96 	 3160.14 	 88348110
97 	 3160.14 	 61989010
98 	 3160 	 104898930
99 	 3159.99 	 106351457
100 	 3159.98 	 58605905
101 	 3159.98 	 74118362
102 	 3159.97 	 94254827
103 	 3159.96 	 90211627
104 	 3159.96 	 84354232
105 	 3159.91 	 80561902
106 	 3159.9 	 61908090
107 	 3159.89 	 57758293
108 	 3159.88 	 49594936
109 	 3159.87 	 49655829
110 	 3160.01 	 56948832
111 	 3159.75 	 62482506
112 	 3159.64 	 55911775
113 	 3159.68 	 61759940
114 	 3159.64 	 55163330
115 	 3159.81 	 50451897
116 	 3159.61 	 73370573
117 	 3159.54 	 215068950
118 	 3159.61 	 33249920
119 	 3159.52 	 32861046
120 	 3159.42 	 35391416
121 	 3159.5 	 81245974
122 	 3159.52 	 313138315
123 	 3159.42 	 74839649
124 	 3159.57 	 44397191
125 	 3159.51 	 44893625
126 	 3159.27 	 43738642
127 	 3159.49 	 36352886
128 	 3159.33 	 47151550
129 	 3159.26 	 77657834
130 	 3159.24 	 68375042
131 	 3159.34 	 85916412
132 	 3159.09 	 51664053
133 	 3159.07 	 43203248
134 	 3159.07 	 72214855
135 	 3158.99 	 70428978
136 	 3159.17 	 43218166
137 	 3159.11 	 37128825
138 	 3159.03 	 56265309
139 	 3159.07 	 54929063
140 	 3158.9 	 181293041
141 	 3158.78 	 249845217
142 	 3158.94 	 32567139
143 	 3158.9 	 27157962
144 	 3158.62 	 108271352
145 	 3158.75 	 27589111
146 	 3158.67 	 23338349
147 	 3158.44 	 170295132
148 	 3158.58 	 23379700
149 	 3158.28 	 68791496
150 	 3158.26 	 23089452
151 	 3158.39 	 23477588
152 	 3158.22 	 29822160
153 	 3158.05 	 77696346
154 	 3158 	 29211260
155 	 3157.93 	 27793794
156 	 3157.95 	 14834692
157 	 3157.74 	 15160689
158 	 3157.68 	 30799554
159 	 3157.64 	 489526508
min 	 max 	 average 
14748425 		 1511552185 		 146158986
