Number of available threads 160
Test name is Division
Thread 	 Time 	 Iteration made 
0 	 3160.74 	 641374963
1 	 3160.77 	 949950096
2 	 3160.85 	 369887390
3 	 3160.93 	 1440297081
4 	 3160.94 	 201212049
5 	 3160.77 	 186974621
6 	 3160.83 	 174493590
7 	 3160.82 	 154684119
8 	 3160.77 	 95042837
9 	 3160.91 	 176179730
10 	 3160.81 	 223700682
11 	 3160.96 	 221437267
12 	 3160.97 	 76111624
13 	 3160.76 	 310327236
14 	 3160.82 	 139107675
15 	 3160.77 	 133119453
16 	 3160.9 	 195520816
17 	 3160.8 	 247579868
18 	 3160.97 	 242725984
19 	 3160.82 	 81743075
20 	 3160.75 	 30620364
21 	 3160.86 	 33582703
22 	 3160.72 	 561345063
23 	 3160.78 	 18747864
24 	 3160.95 	 38723707
25 	 3160.93 	 37576789
26 	 3160.88 	 26782835
27 	 3160.75 	 26634150
28 	 3160.7 	 38677950
29 	 3160.7 	 40139781
30 	 3160.76 	 66064362
31 	 3160.7 	 39964394
32 	 3160.7 	 84092201
33 	 3160.77 	 34280234
34 	 3160.78 	 37041598
35 	 3160.81 	 90336354
36 	 3160.7 	 360481631
37 	 3160.73 	 99693463
38 	 3160.73 	 130298981
39 	 3160.73 	 317441426
40 	 3160.71 	 292809483
41 	 3160.8 	 74331175
42 	 3160.75 	 62442088
43 	 3160.75 	 69262554
44 	 3160.7 	 365619977
45 	 3161.64 	 241144288
46 	 3160.77 	 47039639
47 	 3160.74 	 34290025
48 	 3160.75 	 35186902
49 	 3160.73 	 61833159
50 	 3160.62 	 97396137
51 	 3160.59 	 76939553
52 	 3160.58 	 50895770
53 	 3160.74 	 620766428
54 	 3160.5 	 44991552
55 	 3159.95 	 52705448
56 	 3159.26 	 46001802
57 	 3159.37 	 341528200
58 	 3159.05 	 34856893
59 	 3159.18 	 54680017
60 	 3160.51 	 106132351
61 	 3160.62 	 63227486
62 	 3160.51 	 149471961
63 	 3161.01 	 173098272
64 	 3160.6 	 102204484
65 	 3160.47 	 109212177
66 	 3160.59 	 63860278
67 	 3160.17 	 745483090
68 	 3159.97 	 44464472
69 	 3159.02 	 19965301
70 	 3159.14 	 89333515
71 	 3159.57 	 34989094
72 	 3159.61 	 35330834
73 	 3160.48 	 42615344
74 	 3158.9 	 43318135
75 	 3159.03 	 60740152
76 	 3158.81 	 36776460
77 	 3157.98 	 62346327
78 	 3160.32 	 128197303
79 	 3160.31 	 193036221
80 	 3160.3 	 182126822
81 	 3160.32 	 33684511
82 	 3160.5 	 32968011
83 	 3160.31 	 30434382
84 	 3160.27 	 51827083
85 	 3160.45 	 65775045
86 	 3160.28 	 25618617
87 	 3160.26 	 25916044
88 	 3160.26 	 25005734
89 	 3160.25 	 23838459
90 	 3160.22 	 27369719
91 	 3160.22 	 29025113
92 	 3160.21 	 20044812
93 	 3160.32 	 22834215
94 	 3160.35 	 26144574
95 	 3160.33 	 23668048
96 	 3160.3 	 23322155
97 	 3160.09 	 191139761
98 	 3160.09 	 173986758
99 	 3160.3 	 23312090
100 	 3160.31 	 54188085
101 	 3160.18 	 56812924
102 	 3160.05 	 47246813
103 	 3160.03 	 46001721
104 	 3159.98 	 163048031
105 	 3160.03 	 49615458
106 	 3160.18 	 51447371
107 	 3160.17 	 102294980
108 	 3160.06 	 125432770
109 	 3159.96 	 178997071
110 	 3159.75 	 46401964
111 	 3159.64 	 43798468
112 	 3159.62 	 44652673
113 	 3159.62 	 42336720
114 	 3159.6 	 49362697
115 	 3159.69 	 51252830
116 	 3159.78 	 22104968
117 	 3159.64 	 21132769
118 	 3159.71 	 41903377
119 	 3159.67 	 40269485
120 	 3159.63 	 19763948
121 	 3159.51 	 24583371
122 	 3159.37 	 168724093
123 	 3159.59 	 96676300
124 	 3159.57 	 16258740
125 	 3159.39 	 16953291
126 	 3159.36 	 16712235
127 	 3159.3 	 20543437
128 	 3159.21 	 50610337
129 	 3159.28 	 21021669
130 	 3159.21 	 33996951
131 	 3159.12 	 616903011
132 	 3159.16 	 32352328
133 	 3159.13 	 19325845
134 	 3159.08 	 19259069
135 	 3159.13 	 20298135
136 	 3159.1 	 57985625
137 	 3158.9 	 29237958
138 	 3158.88 	 70134894
139 	 3158.77 	 60368173
140 	 3158.75 	 162272716
141 	 3158.8 	 47587184
142 	 3158.88 	 36522350
143 	 3158.64 	 13650563
144 	 3158.54 	 154732767
145 	 3158.72 	 34082224
146 	 3158.45 	 13498720
147 	 3158.42 	 13382775
148 	 3158.49 	 22404731
149 	 3158.47 	 22595035
150 	 3158.37 	 22712269
151 	 3158.39 	 19931178
152 	 3158.17 	 33538562
153 	 3158.06 	 31002005
154 	 3158.03 	 31187244
155 	 3157.99 	 31999409
156 	 3157.99 	 32349602
157 	 3157.95 	 22190147
158 	 3157.8 	 22682082
159 	 3157.66 	 421258467
min 	 max 	 average 
13382775 		 1440297081 		 114500955
