Number of available threads 160
Test name is Modulus
Thread 	 Time 	 Iteration made 
0 	 3153.08 	 353998140
1 	 3153.99 	 243427907
2 	 3152.99 	 218892410
3 	 3152.94 	 289947295
4 	 3153.15 	 252778345
5 	 3153.07 	 264229280
6 	 3152.93 	 172163873
7 	 3153.13 	 242376734
8 	 3153.05 	 175423425
9 	 3153.07 	 172023431
10 	 3153.2 	 171296013
11 	 3153.05 	 168498564
12 	 3153.1 	 51410694
13 	 3153.18 	 159495745
14 	 3153 	 49759294
15 	 3153.02 	 50075145
16 	 3153.09 	 51334685
17 	 3153.1 	 55293404
18 	 3152.96 	 111067152
19 	 3153.02 	 61080700
20 	 3152.93 	 209648803
21 	 3152.96 	 121466162
22 	 3153.05 	 48683274
23 	 3152.97 	 50076627
24 	 3152.95 	 50733580
25 	 3152.96 	 57442480
26 	 3153 	 60877426
27 	 3152.96 	 72361886
28 	 3152.93 	 64918922
29 	 3152.94 	 171128073
30 	 3153.11 	 239474229
31 	 3153.11 	 89793275
32 	 3153.06 	 205171139
33 	 3153.14 	 72563800
34 	 3153.15 	 74766663
35 	 3153.04 	 232443940
36 	 3152.96 	 51515277
37 	 3153.04 	 57179681
38 	 3153.03 	 57708601
39 	 3153.02 	 57951913
40 	 3153.03 	 56830338
41 	 3152.94 	 57752121
42 	 3152.94 	 236913735
43 	 3153.09 	 282712181
44 	 3153.11 	 298308141
45 	 3153.04 	 69776951
46 	 3152.95 	 120643164
47 	 3152.93 	 120342977
48 	 3152.86 	 86786921
49 	 3152.83 	 85453933
50 	 3152.84 	 113242197
51 	 3153.03 	 83488178
52 	 3152.84 	 47746397
53 	 3152.8 	 45846322
54 	 3152.83 	 45170982
55 	 3152.8 	 178560292
56 	 3152.81 	 45674325
57 	 3152.2 	 278003745
58 	 3152.29 	 345439559
59 	 3152.78 	 41831889
60 	 3152.82 	 22969607
61 	 3152.99 	 24728102
62 	 3152.92 	 23888316
63 	 3151.84 	 30203214
64 	 3151.77 	 191866470
65 	 3152.57 	 13453221
66 	 3153.76 	 38000475
67 	 3152.79 	 59520487
68 	 3151.84 	 104755704
69 	 3151.13 	 74396175
70 	 3151.35 	 33204735
71 	 3151.75 	 102853112
72 	 3151.01 	 25031969
73 	 3151.58 	 25489239
74 	 3152.63 	 55893756
75 	 3152.68 	 100176523
76 	 3152.61 	 77603126
77 	 3152.61 	 21146443
78 	 3152.61 	 20906482
79 	 3152.6 	 20329013
80 	 3152.59 	 11137851
81 	 3152.75 	 42555535
82 	 3152.56 	 20144361
83 	 3151.78 	 90541279
84 	 3152.57 	 10318847
85 	 3150.75 	 21419936
86 	 3151.72 	 53738800
87 	 3150.94 	 25065071
88 	 3150.91 	 25006092
89 	 3151 	 83965239
90 	 3152.02 	 60807271
91 	 3151.83 	 94169530
92 	 3152.69 	 38125398
93 	 3152.59 	 35317033
94 	 3152.55 	 35932922
95 	 3152.49 	 35911342
96 	 3152.53 	 31228198
97 	 3152.43 	 46053977
98 	 3152.41 	 43772789
99 	 3152.41 	 43300720
100 	 3152.41 	 165459441
101 	 3152.42 	 44262873
102 	 3152.52 	 46779425
103 	 3152.46 	 56915340
104 	 3152.37 	 53589117
105 	 3152.57 	 43155884
106 	 3152.59 	 46662572
107 	 3152.44 	 55402972
108 	 3152.53 	 232409232
109 	 3152.51 	 105344561
110 	 3152.41 	 100519609
111 	 3152.31 	 99003396
112 	 3152.19 	 120640585
113 	 3152.18 	 108677509
114 	 3152.04 	 99565035
115 	 3152.02 	 96230926
116 	 3152.01 	 79149911
117 	 3151.98 	 73566367
118 	 3152.12 	 78313506
119 	 3152.16 	 82815885
120 	 3151.99 	 70539606
121 	 3151.94 	 115700884
122 	 3152.08 	 113848271
123 	 3151.95 	 71812576
124 	 3151.91 	 70113011
125 	 3151.87 	 78450831
126 	 3151.86 	 302949260
127 	 3151.97 	 57406113
128 	 3151.77 	 54887362
129 	 3151.75 	 51798384
130 	 3151.74 	 39205333
131 	 3151.87 	 486552644
132 	 3151.98 	 254514832
133 	 3151.67 	 245592939
134 	 3151.65 	 313452473
135 	 3151.67 	 36181812
136 	 3151.66 	 33029269
137 	 3151.62 	 35331328
138 	 3151.57 	 34172343
139 	 3151.72 	 206596072
140 	 3151.74 	 41535122
141 	 3151.68 	 58302266
142 	 3151.69 	 59322214
143 	 3151.45 	 56977984
144 	 3151.44 	 42000332
145 	 3151.5 	 55992128
146 	 3151.48 	 69198907
147 	 3151.44 	 70219118
148 	 3151.51 	 317907131
149 	 3151.39 	 82784859
150 	 3151.3 	 186059567
151 	 3151.29 	 83261670
152 	 3151.39 	 46713513
153 	 3151.41 	 45559658
154 	 3151.19 	 41019739
155 	 3151.36 	 39250141
156 	 3151.31 	 35320740
157 	 3151.18 	 31124983
158 	 3151.16 	 30275075
159 	 3150.97 	 259312990
min 	 max 	 average 
10318847 		 486552644 		 100179177
