Number of available threads 160
Test name is Pow
Thread 	 Time 	 Iteration made 
0 	 3154.87 	 27034312
1 	 3155.01 	 29682016
2 	 3154.79 	 39430373
3 	 3154.76 	 38807766
4 	 3154.96 	 3328896
5 	 3154.97 	 2666350
6 	 3154.84 	 2503794
7 	 3154.75 	 3903151
8 	 3154.74 	 3574766
9 	 3154.86 	 2809708
10 	 3154.89 	 2820415
11 	 3154.79 	 3936069
12 	 3154.76 	 1846326
13 	 3154.8 	 1635501
14 	 3154.81 	 1634275
15 	 3154.83 	 25708088
16 	 3154.93 	 1934647
17 	 3154.76 	 1953804
18 	 3154.99 	 1787077
19 	 3154.96 	 1954310
20 	 3154.76 	 6390876
21 	 3154.77 	 6679511
22 	 3154.72 	 12923303
23 	 3154.73 	 8457382
24 	 3154.95 	 7932932
25 	 3154.87 	 9409925
26 	 3154.86 	 9531653
27 	 3154.82 	 8096833
28 	 3154.81 	 5831843
29 	 3154.76 	 11587416
30 	 3154.8 	 5823508
31 	 3154.72 	 15057074
32 	 3154.81 	 10052582
33 	 3154.83 	 13935987
34 	 3154.94 	 14397618
35 	 3154.96 	 14210302
36 	 3154.94 	 3550642
37 	 3154.93 	 3557531
38 	 3154.81 	 3643112
39 	 3154.92 	 3546842
40 	 3154.83 	 23760669
41 	 3154.7 	 3363155
42 	 3154.32 	 3642322
43 	 3154.69 	 3380827
44 	 3153.3 	 3021368
45 	 3153.49 	 3173236
46 	 3154.83 	 1841990
47 	 3154.64 	 1483048
48 	 3154.81 	 17400894
49 	 3154.79 	 17382861
50 	 3154.77 	 1844118
51 	 3154.81 	 3428184
52 	 3155.13 	 853652
53 	 3154.7 	 18048031
54 	 3154.11 	 1656809
55 	 3153.16 	 1641121
56 	 3153.95 	 4211083
57 	 3154.16 	 850855
58 	 3153.26 	 1679836
59 	 3153.81 	 1638963
60 	 3153.8 	 14202023
61 	 3153.81 	 13916327
62 	 3154.28 	 1705076
63 	 3154.58 	 4006911
64 	 3154.56 	 1902721
65 	 3154.78 	 4406257
66 	 3154.55 	 1899688
67 	 3154.52 	 1763357
68 	 3154.65 	 22678173
69 	 3152.89 	 2137237
70 	 3153.02 	 2158390
71 	 3152.86 	 2350229
72 	 3152.95 	 3589720
73 	 3153.89 	 2318266
74 	 3153 	 2692639
75 	 3154.57 	 2958462
76 	 3153.11 	 3187546
77 	 3154.47 	 3218665
78 	 3152.93 	 2175592
79 	 3154.58 	 20104679
80 	 3154.6 	 1927570
81 	 3154.45 	 1975672
82 	 3154.44 	 1988983
83 	 3154.43 	 1969448
84 	 3154.42 	 15912507
85 	 3154.41 	 15675244
86 	 3154.36 	 40191647
87 	 3154.45 	 15499684
88 	 3153.78 	 14632463
89 	 3154.41 	 12902823
90 	 3154.4 	 12916532
91 	 3154.39 	 12935708
92 	 3154.3 	 14840024
93 	 3154.28 	 14950380
94 	 3154.29 	 14925842
95 	 3154.27 	 15284055
96 	 3154.35 	 12299763
97 	 3154.34 	 12253248
98 	 3154.31 	 12275261
99 	 3154.3 	 12130694
100 	 3154.29 	 18887494
101 	 3154.2 	 10094563
102 	 3154.2 	 10081654
103 	 3154.18 	 10143615
104 	 3154.18 	 10139048
105 	 3154.17 	 10746165
106 	 3154.15 	 10661638
107 	 3154.29 	 10651374
108 	 3154.14 	 9990951
109 	 3154.13 	 10558131
110 	 3154.05 	 15225838
111 	 3154.01 	 13669661
112 	 3154.13 	 13635690
113 	 3154.14 	 13801602
114 	 3153.88 	 15288304
115 	 3153.97 	 28528626
116 	 3154.03 	 12079028
117 	 3153.94 	 11837395
118 	 3153.86 	 15144742
119 	 3153.77 	 10335872
120 	 3153.77 	 10345633
121 	 3153.74 	 10266151
122 	 3153.74 	 11532925
123 	 3153.69 	 11474969
124 	 3153.68 	 18684955
125 	 3153.73 	 7716015
126 	 3153.71 	 7766523
127 	 3153.75 	 8600809
128 	 3153.63 	 21784844
129 	 3153.77 	 8506574
130 	 3153.83 	 8501500
131 	 3153.71 	 8477714
132 	 3153.66 	 18565435
133 	 3153.61 	 18484998
134 	 3153.49 	 19359759
135 	 3153.47 	 18311122
136 	 3153.65 	 9773723
137 	 3153.62 	 9721234
138 	 3153.61 	 9635650
139 	 3153.55 	 9664819
140 	 3153.43 	 13755954
141 	 3153.38 	 13695476
142 	 3153.33 	 13682982
143 	 3153.28 	 13678803
144 	 3153.27 	 16073940
145 	 3153.18 	 23638030
146 	 3153.15 	 23589780
147 	 3153.12 	 23632367
148 	 3153.09 	 15854390
149 	 3153.08 	 15879360
150 	 3153.07 	 15893998
151 	 3153.15 	 6580050
152 	 3153.1 	 6533690
153 	 3153.09 	 6607372
154 	 3153 	 6605048
155 	 3152.98 	 6785533
156 	 3152.86 	 3644546
157 	 3152.83 	 3630170
158 	 3152.82 	 3657815
159 	 3152.97 	 23924175
min 	 max 	 average 
850855 		 40191647 		 10154695
