Number of available threads 160
Test name is Multiplication by 2
Thread 	 Time 	 Iteration made 
0 	 3146.55 	 1407557833
1 	 3146.74 	 594139812
2 	 3146.67 	 618191689
3 	 3146.59 	 641471250
4 	 3146.48 	 222367085
5 	 3146.48 	 148688391
6 	 3146.53 	 144186925
7 	 3146.53 	 192453832
8 	 3146.57 	 180357086
9 	 3146.74 	 154865817
10 	 3146.7 	 192649908
11 	 3146.52 	 174233429
12 	 3146.5 	 75495765
13 	 3146.73 	 74742305
14 	 3146.57 	 79143636
15 	 3146.53 	 84062310
16 	 3146.56 	 246078044
17 	 3146.62 	 237768234
18 	 3146.56 	 246218648
19 	 3146.66 	 233226930
20 	 3146.46 	 47659028
21 	 3146.47 	 19585272
22 	 3146.59 	 11985268
23 	 3146.47 	 32614405
24 	 3146.46 	 35170834
25 	 3146.67 	 18057977
26 	 3146.45 	 469263070
27 	 3146.58 	 13278715
28 	 3146.67 	 93195878
29 	 3146.48 	 103094701
30 	 3146.49 	 52304283
31 	 3146.46 	 47271694
32 	 3146.43 	 29498367
33 	 3146.51 	 55916091
34 	 3146.43 	 30857381
35 	 3146.64 	 61100830
36 	 3146.41 	 94472094
37 	 3146.41 	 95372747
38 	 3146.4 	 89577661
39 	 3146.4 	 62053804
40 	 3146.51 	 65526351
41 	 3146.39 	 63142703
42 	 3146.46 	 58884949
43 	 3146.57 	 56715336
44 	 3146.63 	 56664122
45 	 3146.36 	 233335719
46 	 3146.46 	 56950898
47 	 3146.41 	 43165627
48 	 3146.41 	 42667902
49 	 3146.41 	 40982524
50 	 3146.4 	 41249894
51 	 3146.54 	 57007718
52 	 3146.31 	 253504038
53 	 3146.53 	 50816605
54 	 3145.65 	 184258168
55 	 3145.63 	 40830131
56 	 3146.27 	 40311981
57 	 3146.41 	 29826962
58 	 3146.27 	 20226673
59 	 3146.4 	 32394362
60 	 3146.38 	 79470660
61 	 3146.23 	 19294750
62 	 3146.26 	 19482894
63 	 3146.4 	 80075091
64 	 3146.2 	 19736159
65 	 3146.19 	 13282629
66 	 3146.29 	 31950588
67 	 3145.68 	 91652924
68 	 3145.5 	 30801965
69 	 3144.67 	 42970812
70 	 3144.66 	 352998401
71 	 3144.87 	 61221467
72 	 3144.68 	 313619023
73 	 3146.27 	 68009897
74 	 3146.27 	 70931197
75 	 3144.58 	 40499797
76 	 3144.77 	 268154683
77 	 3145.29 	 87692292
78 	 3144.43 	 101793017
79 	 3145.14 	 96869397
80 	 3144.57 	 107672438
81 	 3146.03 	 95211506
82 	 3146.02 	 92093487
83 	 3146.02 	 79884840
84 	 3146.01 	 125026584
85 	 3146 	 121891064
86 	 3147.18 	 229794882
87 	 3145.99 	 70091764
88 	 3145.98 	 71820904
89 	 3145.95 	 88192327
90 	 3146.05 	 98124694
91 	 3145.98 	 109285550
92 	 3146.1 	 66797475
93 	 3146.04 	 68252520
94 	 3146.09 	 114768496
95 	 3145.95 	 112579081
96 	 3146.09 	 100123074
97 	 3145.98 	 65640997
98 	 3145.87 	 67566383
99 	 3145.96 	 66923757
100 	 3145.78 	 255385965
101 	 3145.96 	 68246318
102 	 3145.79 	 87851847
103 	 3145.8 	 83691992
104 	 3145.89 	 80903728
105 	 3145.86 	 116426851
106 	 3145.64 	 238875330
107 	 3145.83 	 160541365
108 	 3145.85 	 101346330
109 	 3145.79 	 95642899
110 	 3145.69 	 99436769
111 	 3145.31 	 121228356
112 	 3145.29 	 114260432
113 	 3145.28 	 91111119
114 	 3145.39 	 74055118
115 	 3145.23 	 68249723
116 	 3145.21 	 98538249
117 	 3145.2 	 100377607
118 	 3145.33 	 62463412
119 	 3145.11 	 296263044
120 	 3145.21 	 81645217
121 	 3145.08 	 302134295
122 	 3145.05 	 136566873
123 	 3145.01 	 89812738
124 	 3145.19 	 426165501
125 	 3144.88 	 74182063
126 	 3145.07 	 113791873
127 	 3144.92 	 357938861
128 	 3144.79 	 109252387
129 	 3144.99 	 101754351
130 	 3144.79 	 106832027
131 	 3144.62 	 76106554
132 	 3144.52 	 330901174
133 	 3145.87 	 357222908
134 	 3144.42 	 39000363
135 	 3144.37 	 66356812
136 	 3144.41 	 62431975
137 	 3144.5 	 386960566
138 	 3144.38 	 60022225
139 	 3144.36 	 423146457
140 	 3144.35 	 163004484
141 	 3144.33 	 145556137
142 	 3144.14 	 155362212
143 	 3144.1 	 153937261
144 	 3144.18 	 58843628
145 	 3144.11 	 58380350
146 	 3143.95 	 48081070
147 	 3143.91 	 47231210
148 	 3144.02 	 59907526
149 	 3143.97 	 55347441
150 	 3143.82 	 34034206
151 	 3143.79 	 33230144
152 	 3143.76 	 30154992
153 	 3143.78 	 63859093
154 	 3143.84 	 57508828
155 	 3142.16 	 28981398
156 	 3142.36 	 113254017
157 	 3142.28 	 64087236
158 	 3143.64 	 137641191
159 	 3144.11 	 370460087
min 	 max 	 average 
11985268 		 1407557833 		 129480783
