Number of available threads 160
Test name is Addition
Thread 	 Time 	 Iteration made 
0 	 59.46 	 63961527
1 	 60.03 	 64467571
2 	 60.15 	 64739612
3 	 60.59 	 65123845
4 	 60.58 	 76788505
5 	 60.58 	 64585046
6 	 60.57 	 64994222
7 	 60.57 	 64568959
8 	 60.57 	 65101663
9 	 60.56 	 65130937
10 	 60.56 	 64900489
11 	 60.55 	 65092766
12 	 60.55 	 76189428
13 	 60.55 	 64998289
14 	 60.54 	 64355613
15 	 60.54 	 65188325
16 	 60.53 	 64481278
17 	 60.53 	 64524746
18 	 60.52 	 64651438
19 	 60.53 	 64822806
20 	 60.51 	 77012044
21 	 60.52 	 64767105
22 	 60.51 	 64779945
23 	 60.5 	 64674434
24 	 60.51 	 65022463
25 	 60.49 	 64858584
26 	 60.5 	 64943008
27 	 60.49 	 64960038
28 	 60.47 	 76483943
29 	 60.48 	 65325580
30 	 60.47 	 64520643
31 	 60.49 	 64626537
32 	 60.48 	 64675758
33 	 60.46 	 64739802
34 	 60.47 	 64970998
35 	 60.44 	 65028336
36 	 60.44 	 75798756
37 	 60.43 	 65058068
38 	 60.46 	 64941380
39 	 60.42 	 65016285
40 	 60.45 	 64637780
41 	 60.41 	 64844776
42 	 60.43 	 64780813
43 	 60.38 	 64925864
44 	 60.36 	 77097926
45 	 60.37 	 64911061
46 	 60.33 	 65219060
47 	 60.45 	 65241996
48 	 60.45 	 65279318
49 	 60.32 	 64582001
50 	 60.4 	 64811763
51 	 60.43 	 64935208
52 	 60.35 	 76078899
53 	 60.29 	 65061258
54 	 60.35 	 65116371
55 	 60.36 	 64611864
56 	 60.42 	 64783807
57 	 60.28 	 64928578
58 	 60.31 	 64875685
59 	 60.33 	 64769214
60 	 60.33 	 76424608
61 	 60.38 	 65042555
62 	 60.31 	 64825362
63 	 60.27 	 64530338
64 	 60.35 	 64496009
65 	 60.25 	 64831214
66 	 60.31 	 64829692
67 	 60.34 	 65176997
68 	 60.26 	 76197491
69 	 60.27 	 65037287
70 	 60.4 	 64637087
71 	 60.41 	 65335125
72 	 60.28 	 65224576
73 	 60.37 	 64795983
74 	 60.21 	 65202373
75 	 60.24 	 64909495
76 	 60.39 	 79106110
77 	 60.24 	 82561454
78 	 60.3 	 83522238
79 	 60.25 	 68060275
80 	 60.39 	 77115792
81 	 60.32 	 86865733
82 	 60.21 	 82882021
83 	 60.3 	 82956362
84 	 60.39 	 52380351
85 	 60.23 	 64837718
86 	 60.26 	 64062902
87 	 60.41 	 63940949
88 	 60.23 	 88705026
89 	 60.21 	 63959913
90 	 60.23 	 63705848
91 	 60.2 	 64246171
92 	 60.22 	 76515439
93 	 60.27 	 64597242
94 	 60.29 	 64527017
95 	 60.22 	 64951093
96 	 60.19 	 65203112
97 	 60.34 	 65197200
98 	 60.2 	 65092810
99 	 60.37 	 64643645
100 	 60.29 	 76881712
101 	 60.25 	 64992941
102 	 60.19 	 64988526
103 	 60.19 	 65044983
104 	 60.18 	 64905563
105 	 60.18 	 64637251
106 	 60.17 	 65364628
107 	 60.17 	 64946296
108 	 60.17 	 76668172
109 	 60.16 	 64788090
110 	 60.16 	 64544551
111 	 60.15 	 64773304
112 	 60.14 	 64364199
113 	 60.14 	 64376798
114 	 60.14 	 64440248
115 	 60.13 	 64874550
116 	 60.13 	 76240343
117 	 60.12 	 64350337
118 	 60.12 	 64215907
119 	 60.12 	 64345303
120 	 60.11 	 64818971
121 	 60.11 	 64385091
122 	 60.1 	 64647251
123 	 60.1 	 64628298
