Number of available threads 160
Test name is Subtraction
Thread 	 Time 	 Iteration made 
0 	 9202.93 	 3549128947
1 	 9202.98 	 1674026130
2 	 9202.82 	 2310338111
3 	 9203 	 1772096622
4 	 9202.83 	 380519237
5 	 9203.08 	 388305756
6 	 9202.93 	 612257484
7 	 9202.85 	 354932598
8 	 9203.06 	 449285296
9 	 9203.08 	 204074784
10 	 9203.03 	 367328780
11 	 9202.83 	 499684074
12 	 9202.8 	 487170545
13 	 9202.9 	 370251004
14 	 9202.86 	 1080667850
15 	 9202.96 	 443085269
16 	 9202.85 	 186063376
17 	 9202.88 	 390546260
18 	 9202.91 	 352414391
19 	 9202.99 	 415376156
20 	 9202.8 	 934279854
21 	 9202.81 	 107961813
22 	 9202.99 	 185764199
23 	 9202.87 	 112772270
24 	 9202.8 	 201146395
25 	 9202.8 	 280694736
26 	 9202.98 	 295613814
27 	 9203 	 267258560
28 	 9202.77 	 96331473
29 	 9202.76 	 99688266
30 	 9202.76 	 100533393
31 	 9203.05 	 88066864
32 	 9202.76 	 88825471
33 	 9202.76 	 90662618
34 	 9202.76 	 116421089
35 	 9203 	 619465719
36 	 9202.97 	 129030512
37 	 9202.94 	 122373693
38 	 9202.93 	 113917157
39 	 9202.74 	 863796495
40 	 9202.81 	 511265328
41 	 9202.95 	 119578729
42 	 9202.86 	 126477369
43 	 9202.72 	 767252987
44 	 9202.73 	 324590045
45 	 9202.71 	 190432758
46 	 9202.74 	 797729924
47 	 9202.74 	 161051357
48 	 9202.7 	 588576802
49 	 9202.75 	 492548468
50 	 9203.08 	 171551618
51 	 9202.65 	 565783607
52 	 9202.52 	 134417831
53 	 9202.31 	 123974830
54 	 9202.01 	 92319655
55 	 9201.68 	 110043460
56 	 9202.16 	 112522567
57 	 9201.62 	 652823560
58 	 9201.94 	 121161474
59 	 9201.66 	 510922827
60 	 9201.76 	 177998384
61 	 9201.03 	 590120671
62 	 9201.65 	 142404494
63 	 9201.59 	 94980868
64 	 9200.26 	 92474113
65 	 9201.33 	 115316943
66 	 9200.92 	 108145224
67 	 9201.03 	 504227602
68 	 9200.39 	 687372981
69 	 9200.39 	 520709370
70 	 9201.27 	 123604419
71 	 9200.44 	 106865897
72 	 9199.82 	 59676039
73 	 9199.13 	 68127159
74 	 9202.52 	 72093225
75 	 9202.61 	 110377221
76 	 9202.51 	 77001275
77 	 9202.64 	 70713126
78 	 9202.48 	 302839051
79 	 9202.49 	 88515116
80 	 9202.64 	 63065815
81 	 9202.62 	 80048609
82 	 9201.78 	 333380592
83 	 9201.03 	 210634086
84 	 9201.13 	 232146385
85 	 9200.97 	 267975359
86 	 9200.86 	 352654797
87 	 9202.62 	 208195943
88 	 9202.44 	 198789730
89 	 9202.41 	 201240960
90 	 9202.49 	 579215490
91 	 9202.5 	 563630328
92 	 9202.49 	 375050092
93 	 9202.61 	 357022619
94 	 9202.36 	 141479504
95 	 9202.33 	 1149775814
96 	 9202.38 	 414906733
97 	 9202.41 	 170891173
98 	 9202.47 	 433410824
99 	 9203.31 	 504828833
100 	 9202.42 	 138652090
101 	 9202.33 	 118746594
102 	 9202.28 	 366427320
103 	 9202.31 	 268192111
104 	 9202.28 	 198441661
105 	 9202.66 	 365663443
106 	 9202.38 	 277170144
107 	 9202.42 	 514062142
108 	 9202.29 	 492702422
109 	 9202.15 	 477848109
110 	 9202.26 	 884695592
111 	 9201.92 	 598807150
112 	 9203.07 	 506002300
113 	 9202.12 	 200808555
114 	 9202 	 224639189
115 	 9202.1 	 313779549
116 	 9201.96 	 1268057708
117 	 9201.88 	 521614618
118 	 9201.88 	 507871043
119 	 9202.08 	 167919583
120 	 9202.04 	 433185546
121 	 9201.85 	 547298359
122 	 9201.99 	 135336216
123 	 9201.83 	 165020965
124 	 9201.67 	 237451188
125 	 9201.73 	 265511439
126 	 9201.74 	 226250319
127 	 9201.69 	 780431765
128 	 9201.76 	 488833714
129 	 9201.66 	 473963791
130 	 9201.69 	 264067916
131 	 9201.45 	 397417693
132 	 9201.57 	 155650527
133 	 9201.43 	 68460845
134 	 9201.35 	 63344303
135 	 9201.38 	 117444429
136 	 9201.26 	 56458494
137 	 9201.36 	 144470039
138 	 9201.18 	 158164017
139 	 9201.33 	 195985325
140 	 9201.09 	 56256725
141 	 9201.01 	 49274752
142 	 9200.85 	 60699075
143 	 9200.84 	 33865995
144 	 9200.93 	 1748066412
145 	 9200.64 	 25959812
146 	 9200.76 	 106279227
147 	 9200.77 	 27141611
148 	 9200.44 	 182476908
149 	 9200.78 	 123900934
150 	 9200.16 	 78473572
151 	 9200.11 	 111041216
152 	 9199.89 	 49208063
153 	 9199.78 	 79304997
154 	 9199.61 	 182933188
155 	 9199.74 	 144528030
156 	 9199.46 	 32515697
157 	 9199.35 	 33224484
158 	 9199.22 	 85724695
159 	 9199.39 	 1155906263
min 	 max 	 average 
25959812 		 3549128947 		 356141993
