Number of available threads 160
Test name is SQRT
Thread 	 Time 	 Iteration made 
0 	 9381.91 	 469023926
1 	 9382.01 	 217881587
2 	 9382.01 	 253160200
3 	 9382.03 	 190840649
4 	 9382.18 	 192519595
5 	 9382.02 	 140499978
6 	 9381.92 	 288998639
7 	 9381.99 	 283560828
8 	 9382.02 	 199990927
9 	 9381.96 	 251977807
10 	 9382.08 	 190053887
11 	 9382.02 	 273801643
12 	 9381.9 	 61457692
13 	 9381.92 	 113574436
14 	 9382.14 	 47980964
15 	 9381.92 	 42914929
16 	 9382.08 	 173288947
17 	 9381.89 	 283822314
18 	 9381.92 	 109062064
19 	 9382.13 	 27728248
20 	 9382.09 	 104442524
21 	 9381.91 	 128812813
22 	 9381.92 	 105111481
23 	 9381.97 	 99256729
24 	 9381.88 	 184824798
25 	 9382.07 	 115345472
26 	 9381.93 	 90463890
27 	 9382.11 	 78349434
28 	 9381.97 	 116594033
29 	 9381.87 	 244894190
30 	 9382.61 	 199283084
31 	 9382.02 	 76005735
32 	 9381.92 	 77740251
33 	 9381.92 	 76457664
34 	 9381.91 	 67806540
35 	 9382.06 	 145486544
36 	 9381.94 	 79893032
37 	 9381.84 	 154965051
38 	 9382.12 	 74510866
39 	 9381.89 	 77514299
40 	 9381.82 	 470322138
41 	 9381.83 	 141728615
42 	 9382.08 	 82879263
43 	 9381.87 	 74948367
44 	 9381.81 	 39914574
45 	 9381.86 	 34428292
46 	 9381.85 	 36364627
47 	 9381.79 	 45817340
48 	 9381.8 	 44764102
49 	 9382.05 	 35700495
50 	 9381.83 	 34248282
51 	 9381.75 	 445082957
52 	 9381.75 	 385731297
53 	 9381.75 	 20188290
54 	 9381.76 	 64251369
55 	 9381.75 	 20708768
56 	 9381.89 	 335891637
57 	 9381.95 	 33241200
58 	 9381.98 	 33073511
59 	 9382.86 	 25475275
60 	 9381.4 	 38067965
61 	 9380.7 	 361097971
62 	 9380.84 	 183053783
63 	 9380.91 	 42214752
64 	 9380.54 	 34309405
65 	 9380.82 	 27196523
66 	 9380.53 	 20858303
67 	 9381.04 	 61074539
68 	 9380.7 	 53327295
69 	 9380.93 	 57659059
70 	 9379.15 	 68567110
71 	 9380.96 	 51056935
72 	 9379.98 	 35270834
73 	 9380.13 	 39325402
74 	 9380.05 	 46369380
75 	 9379.88 	 96842785
76 	 9380.8 	 162975783
77 	 9380.96 	 100908221
78 	 9379.94 	 282411689
79 	 9379.42 	 295601091
80 	 9379.88 	 94575470
81 	 9379.33 	 105128023
82 	 9379.2 	 93983675
83 	 9379.96 	 80415451
84 	 9381.56 	 88369919
85 	 9381.6 	 64080348
86 	 9381.59 	 65247243
87 	 9381.66 	 77264201
88 	 9381.58 	 63533619
89 	 9381.71 	 158757809
90 	 9381.64 	 103058374
91 	 9381.48 	 285075459
92 	 9381.7 	 76573544
93 	 9381.68 	 50426828
94 	 9381.96 	 56474138
95 	 9381.61 	 118260412
96 	 9381.44 	 30865202
97 	 9381.61 	 70397182
98 	 9381.42 	 31949902
99 	 9381.41 	 33153709
100 	 9381.41 	 18682170
101 	 9381.53 	 19553800
102 	 9381.35 	 568279512
103 	 9381.37 	 14905051
104 	 9381.4 	 27037298
105 	 9380.55 	 44318764
106 	 9380.57 	 17987519
107 	 9380.58 	 18293209
108 	 9381.32 	 63675594
109 	 9381.31 	 63191799
110 	 9381.18 	 130739904
111 	 9381.23 	 83130824
112 	 9381.08 	 51253920
113 	 9381.19 	 90046656
114 	 9381.27 	 53160818
115 	 9381.11 	 52268448
116 	 9381.16 	 99163558
117 	 9381.23 	 120681470
118 	 9381.09 	 125799949
119 	 9381.2 	 77758629
120 	 9380.95 	 61276710
121 	 9380.93 	 61448140
122 	 9381.04 	 65597234
123 	 9380.85 	 209964215
124 	 9380.97 	 61747598
125 	 9381.02 	 186058483
126 	 9381.02 	 141557370
127 	 9380.8 	 104143137
128 	 9380.9 	 87685709
129 	 9381 	 63176152
130 	 9380.9 	 107398087
131 	 9380.78 	 58955720
132 	 9380.72 	 111828565
133 	 9380.66 	 107839872
134 	 9380.72 	 129284069
135 	 9380.67 	 129298693
136 	 9380.62 	 100889039
137 	 9380.65 	 88520432
138 	 9380.73 	 69269550
139 	 9380.64 	 175939244
140 	 9380.57 	 49551495
141 	 9380.52 	 26894223
142 	 9380.63 	 39656677
143 	 9380.52 	 39179721
144 	 9380.46 	 33980061
145 	 9380.21 	 59237715
146 	 9380.17 	 372612527
147 	 9380.28 	 29130912
148 	 9380.31 	 46203086
149 	 9380.09 	 118549751
150 	 9380.32 	 47168170
151 	 9380.22 	 82109650
152 	 9380.06 	 84675258
153 	 9380.12 	 53258951
154 	 9379.91 	 95215388
155 	 9379.93 	 50596907
156 	 9379.73 	 17328864
157 	 9379.86 	 25284692
158 	 9379.91 	 17157672
159 	 9380.71 	 421146350
min 	 max 	 average 
14905051 		 568279512 		 111819890
