Number of available threads 160
Test name is Sinus
Thread 	 Time 	 Iteration made 
0 	 9400.42 	 1102718665
1 	 9400.45 	 638572653
2 	 9400.67 	 645638203
3 	 9400.45 	 656676088
4 	 9400.68 	 182553521
5 	 9400.53 	 183391754
6 	 9400.67 	 108833429
7 	 9400.55 	 172280194
8 	 9400.64 	 227196776
9 	 9400.43 	 164180973
10 	 9400.64 	 120615644
11 	 9400.59 	 297421474
12 	 9400.56 	 320254624
13 	 9400.49 	 52212443
14 	 9400.64 	 98285741
15 	 9400.49 	 54853053
16 	 9400.64 	 98122616
17 	 9400.45 	 325211684
18 	 9400.57 	 218073153
19 	 9400.52 	 248964552
20 	 9400.59 	 268698653
21 	 9400.52 	 119468134
22 	 9400.41 	 184386932
23 	 9400.68 	 293459269
24 	 9400.39 	 525445821
25 	 9400.43 	 265690202
26 	 9400.52 	 49392680
27 	 9400.52 	 179611493
28 	 9400.5 	 215808909
29 	 9400.58 	 215572995
30 	 9400.55 	 312498361
31 	 9400.47 	 59293953
32 	 9400.46 	 61316436
33 	 9400.62 	 62380700
34 	 9400.57 	 63891803
35 	 9400.51 	 60954435
36 	 9400.36 	 52634334
37 	 9400.59 	 44689669
38 	 9400.43 	 335516475
39 	 9400.36 	 40791737
40 	 9400.35 	 40885731
41 	 9400.59 	 45154939
42 	 9401.06 	 17482959
43 	 9400.37 	 49252533
44 	 9400.37 	 21323833
45 	 9400.39 	 21448077
46 	 9400.57 	 45902977
47 	 9400.43 	 77580130
48 	 9400.49 	 350527306
49 	 9400.37 	 10611214
50 	 9400.47 	 21447894
51 	 9399.78 	 34887607
52 	 9400.89 	 17326381
53 	 9399.71 	 40682207
54 	 9399.7 	 43604034
55 	 9399.7 	 41994197
56 	 9400.28 	 57212267
57 	 9399.92 	 129918287
58 	 9399.03 	 133906932
59 	 9398.75 	 25357657
60 	 9399.53 	 83641922
61 	 9398.67 	 57522581
62 	 9399.46 	 89698318
63 	 9398.79 	 49458679
64 	 9399.46 	 94353731
65 	 9398.78 	 91978327
66 	 9397.96 	 92056701
67 	 9399.29 	 93206684
68 	 9398.61 	 65456103
69 	 9398.53 	 408904172
70 	 9400.22 	 49207882
71 	 9400.24 	 20984849
72 	 9400.4 	 39335905
73 	 9401.35 	 33906527
74 	 9400.34 	 34588690
75 	 9400.17 	 16710830
76 	 9400.22 	 25544358
77 	 9400.24 	 109174768
78 	 9400.32 	 109455329
79 	 9400.68 	 44289564
80 	 9399.56 	 72943370
81 	 9399.54 	 25254665
82 	 9398.63 	 28372062
83 	 9398.76 	 86352884
84 	 9398.63 	 449116073
85 	 9398.63 	 89528281
86 	 9400.08 	 96998272
87 	 9400.09 	 91448507
88 	 9398.38 	 77569094
89 	 9398.6 	 323768054
90 	 9397.34 	 82736692
91 	 9400.06 	 69618746
92 	 9400.06 	 107838138
93 	 9400.03 	 97271895
94 	 9400.02 	 83232245
95 	 9399.38 	 305336720
96 	 9400.21 	 54907547
97 	 9400.24 	 54480969
98 	 9400.19 	 56632943
99 	 9400.17 	 69909262
100 	 9400.18 	 411806332
101 	 9399.93 	 44772527
102 	 9399.93 	 70259860
103 	 9399.92 	 69176209
104 	 9399.92 	 48579095
105 	 9399.91 	 45839795
106 	 9399.99 	 142703895
107 	 9399.98 	 140902957
108 	 9400.15 	 102876523
109 	 9399.95 	 104680826
110 	 9399.9 	 82108306
111 	 9399.75 	 108431020
112 	 9399.7 	 109393638
113 	 9399.79 	 81449070
114 	 9399.65 	 86183446
115 	 9399.64 	 85791252
116 	 9399.79 	 53489487
117 	 9399.87 	 69759633
118 	 9399.78 	 67504214
119 	 9399.73 	 401489771
120 	 9399.6 	 63448818
121 	 9399.6 	 56557640
122 	 9399.55 	 55122228
123 	 9399.54 	 43533850
124 	 9399.65 	 349701474
125 	 9399.63 	 40885434
126 	 9399.61 	 40943649
127 	 9399.56 	 61972103
128 	 9399.53 	 51439607
129 	 9399.49 	 49186896
130 	 9399.52 	 81682470
131 	 9399.48 	 70148157
132 	 9399.35 	 386492561
133 	 9399.35 	 269989638
134 	 9399.47 	 54778400
135 	 9399.48 	 49177736
136 	 9399.46 	 47749075
137 	 9399.48 	 46999504
138 	 9399.31 	 70810947
139 	 9399.2 	 69294721
140 	 9399.19 	 48967271
141 	 9399.27 	 48114288
142 	 9399.28 	 43619024
143 	 9399.23 	 44688893
144 	 9399.35 	 43531503
145 	 9399.26 	 32709782
146 	 9399.13 	 270686388
147 	 9399 	 45233828
148 	 9399.18 	 39319521
149 	 9399.05 	 90448982
150 	 9399.15 	 41637654
151 	 9399.04 	 41344707
152 	 9399.1 	 43956153
153 	 9398.84 	 35355951
154 	 9398.87 	 86404192
155 	 9398.77 	 34239525
156 	 9398.73 	 36713311
157 	 9398.86 	 17433908
158 	 9398.72 	 16983232
159 	 9398.69 	 248062652
min 	 max 	 average 
10611214 		 1102718665 		 125521395
