Number of available threads 160
Test name is Multiplication by 2 but shifting uses
Thread 	 Time 	 Iteration made 
0 	 9386.41 	 4088369586
1 	 9386.6 	 1544222767
2 	 9386.52 	 2634135793
3 	 9386.5 	 1524294777
4 	 9386.39 	 234228356
5 	 9386.48 	 143180665
6 	 9387.41 	 153739096
7 	 9386.45 	 184904453
8 	 9386.6 	 221650045
9 	 9386.49 	 139791493
10 	 9386.54 	 169348466
11 	 9386.4 	 229712793
12 	 9386.47 	 128964579
13 	 9386.43 	 127588554
14 	 9386.37 	 1443624378
15 	 9386.58 	 117483766
16 	 9386.49 	 97692678
17 	 9386.56 	 58675755
18 	 9386.55 	 62235260
19 	 9386.59 	 105961931
20 	 9386.36 	 343503667
21 	 9386.44 	 293954574
22 	 9386.5 	 224506276
23 	 9386.42 	 453267090
24 	 9386.47 	 274124747
25 	 9386.48 	 106378446
26 	 9386.39 	 113065260
27 	 9386.58 	 322051872
28 	 9386.5 	 178925662
29 	 9386.42 	 201311033
30 	 9386.38 	 172196005
31 	 9386.54 	 543032561
32 	 9386.56 	 188811804
33 	 9386.32 	 111257749
34 	 9386.32 	 103876846
35 	 9386.31 	 110480571
36 	 9386.31 	 55336928
37 	 9386.31 	 53018579
38 	 9386.3 	 50191353
39 	 9386.48 	 125435426
40 	 9386.29 	 49222444
41 	 9386.31 	 573729331
42 	 9386.3 	 128878392
43 	 9386.28 	 569864136
44 	 9386.3 	 108437739
45 	 9386.46 	 479532351
46 	 9387.29 	 202504368
47 	 9386.39 	 110160029
48 	 9386.27 	 137437979
49 	 9386.44 	 106617802
50 	 9386.25 	 136911586
51 	 9386.39 	 109441971
52 	 9386.25 	 80312233
53 	 9385.72 	 98690636
54 	 9386.41 	 110267454
55 	 9385.54 	 158268360
56 	 9385.3 	 947948391
57 	 9385.25 	 77147432
58 	 9385.48 	 128864853
59 	 9385.06 	 129993477
60 	 9386.35 	 99427632
61 	 9386.22 	 182069040
62 	 9385.3 	 89910717
63 	 9384.63 	 478806849
64 	 9386.27 	 89438222
65 	 9384.64 	 88547655
66 	 9384.74 	 223269994
67 	 9385.13 	 528346855
68 	 9384.55 	 866035233
69 	 9383.92 	 216119328
70 	 9387.11 	 81426776
71 	 9386.11 	 53143659
72 	 9386.09 	 50639392
73 	 9386.09 	 52136752
74 	 9386.24 	 167711951
75 	 9386.08 	 26526098
76 	 9386.22 	 53770772
77 	 9386.18 	 132843828
78 	 9386.03 	 135629456
79 	 9385.3 	 54779829
80 	 9385.35 	 54188496
81 	 9384.38 	 60003091
82 	 9384.56 	 177487751
83 	 9384.5 	 794629284
84 	 9384.36 	 1369343918
85 	 9385.34 	 180141217
86 	 9385.49 	 65784857
87 	 9385.96 	 89409026
88 	 9385.93 	 88410789
89 	 9386.06 	 92982473
90 	 9385.91 	 91740724
91 	 9385.95 	 132650521
92 	 9385.94 	 96945887
93 	 9385.93 	 101067185
94 	 9385.87 	 260767453
95 	 9385.86 	 248027284
96 	 9385.91 	 98351577
97 	 9385.9 	 106316458
98 	 9385.94 	 143695803
99 	 9385.89 	 154563259
100 	 9385.84 	 256806555
101 	 9385.82 	 275581638
102 	 9385.87 	 147232450
103 	 9385.88 	 156640289
104 	 9385.84 	 150479253
105 	 9385.84 	 135684915
106 	 9385.82 	 208947509
107 	 9385.85 	 772273274
108 	 9385.86 	 262689065
109 	 9385.78 	 260392435
110 	 9385.56 	 368970303
111 	 9385.67 	 442673558
112 	 9385.45 	 564348064
113 	 9385.51 	 839159716
114 	 9385.6 	 818485418
115 	 9385.59 	 410748237
116 	 9385.53 	 512301056
117 	 9385.48 	 497483221
118 	 9385.4 	 534169538
119 	 9385.51 	 525014337
120 	 9385.25 	 213960998
121 	 9385.24 	 352251629
122 	 9385.23 	 360226740
123 	 9385.29 	 777277310
124 	 9385.26 	 170962309
125 	 9385.25 	 155647336
126 	 9385.24 	 149370572
127 	 9385.2 	 1524072290
128 	 9385.14 	 123210829
129 	 9385.11 	 134105021
130 	 9385.09 	 127820946
131 	 9385.07 	 140323982
132 	 9385.17 	 195207929
133 	 9385 	 217107095
134 	 9385.14 	 927186207
135 	 9384.95 	 211949813
136 	 9384.93 	 1347504610
137 	 9384.9 	 1104722013
138 	 9384.83 	 749217777
139 	 9384.99 	 923352019
140 	 9384.8 	 238594191
141 	 9384.78 	 235646103
142 	 9384.82 	 923594755
143 	 9384.63 	 856630714
144 	 9384.54 	 533577418
145 	 9384.51 	 509095196
146 	 9384.59 	 348299011
147 	 9384.51 	 1151317071
148 	 9384.55 	 345994551
149 	 9384.41 	 171560030
150 	 9384.36 	 615913366
151 	 9384.34 	 162583033
152 	 9384.34 	 91209240
153 	 9384.45 	 177358802
154 	 9384.26 	 171949311
155 	 9384.28 	 377976388
156 	 9384.35 	 199254363
157 	 9384.14 	 264174070
158 	 9384.21 	 256111183
159 	 9384.77 	 1364756269
min 	 max 	 average 
26526098 		 4088369586 		 356231268
