Number of available threads 160
Test name is Sudden drops
Thread 	 Time 	 Iteration made 
0 	 7310.87 	 699999998
1 	 7310.87 	 649999998
2 	 7310.86 	 699999998
3 	 7310.86 	 649999998
4 	 7310.07 	 207556521
5 	 7310.09 	 362061117
6 	 7310.86 	 149999998
7 	 7310.86 	 349999998
8 	 7309.97 	 203149337
9 	 7309.95 	 158584537
10 	 7309.96 	 220914345
11 	 7309.96 	 210879369
12 	 7309.96 	 202532407
13 	 7310.07 	 221781638
14 	 7310 	 302848847
15 	 7309.97 	 239057039
16 	 7310.09 	 270723280
17 	 7310.86 	 249999998
18 	 7310.09 	 189359008
19 	 7310.1 	 192824113
20 	 7310.85 	 149999998
21 	 7309.99 	 253081185
22 	 7310.85 	 249999998
23 	 7309.96 	 118970009
24 	 7309.99 	 123927223
25 	 7309.98 	 242957256
26 	 7309.94 	 239570024
27 	 7310.83 	 199999998
28 	 7310.06 	 175494515
29 	 7310.83 	 149999998
30 	 7310 	 170051162
31 	 7310.82 	 299999998
32 	 7310.08 	 168811432
33 	 7310.81 	 149999998
34 	 7309.95 	 183512383
35 	 7309.9 	 191889549
36 	 7310.01 	 158539854
37 	 7309.9 	 227091231
38 	 7310 	 144970188
39 	 7309.9 	 294927612
40 	 7309.88 	 261909974
41 	 7309.95 	 233922605
42 	 7310.77 	 249999998
43 	 7309.9 	 181505690
44 	 7310.76 	 249999998
45 	 7309.86 	 191490641
46 	 7309.85 	 288147421
47 	 7310 	 293171549
48 	 7310.73 	 199999998
49 	 7309.93 	 167196035
50 	 7309.95 	 214544875
51 	 7310.72 	 149999998
52 	 7309.81 	 206931544
53 	 7309.85 	 179097684
54 	 7309.84 	 171293469
55 	 7309.8 	 109695145
56 	 7309.8 	 81548074
57 	 7309.83 	 85315044
58 	 7310.67 	 149999998
59 	 7309.87 	 89546050
60 	 7309.75 	 278747959
61 	 7309.74 	 284796834
62 	 7309.74 	 119276633
63 	 7309.73 	 149462275
64 	 7309.71 	 174272673
65 	 7309.82 	 159749307
66 	 7309.79 	 118259060
67 	 7309.05 	 203100286
68 	 7309.75 	 101183714
69 	 7308.72 	 209472043
70 	 7308.79 	 185597798
71 	 7307.95 	 101590538
72 	 7308.08 	 156524883
73 	 7308.06 	 124333936
74 	 7308.06 	 104995548
75 	 7308.16 	 236404967
76 	 7309.59 	 71907563
77 	 7309.67 	 59141045
78 	 7309.57 	 57509826
79 	 7309.56 	 365934730
80 	 7308.78 	 112120676
81 	 7307.97 	 150209382
82 	 7309.07 	 149999998
83 	 7309.52 	 180523368
84 	 7309.67 	 162186105
85 	 7309.57 	 126635813
86 	 7309.49 	 106322032
87 	 7310.38 	 199999998
88 	 7309.46 	 153065595
89 	 7309.54 	 134312624
90 	 7309.46 	 107920118
91 	 7310.33 	 149999998
92 	 7309.55 	 251683800
93 	 7309.41 	 217564437
94 	 7310.28 	 199999998
95 	 7309.38 	 222383785
96 	 7309.42 	 160057477
97 	 7309.42 	 153759257
98 	 7309.33 	 178965604
99 	 7310.23 	 199999998
100 	 7309.91 	 149999998
101 	 7309.27 	 150072778
102 	 7309.32 	 152700865
103 	 7309.27 	 155277819
104 	 7309.25 	 105627221
105 	 7309.24 	 103719185
106 	 7309.3 	 322534571
107 	 7309.23 	 189849544
108 	 7309.29 	 219450434
109 	 7309.25 	 154392351
110 	 7309.14 	 258720128
111 	 7308.94 	 155140873
112 	 7309.07 	 157605884
113 	 7309.79 	 249999998
114 	 7308.89 	 305949249
115 	 7308.98 	 205119949
116 	 7308.89 	 139629396
117 	 7308.83 	 266600178
118 	 7308.83 	 151077397
119 	 7308.8 	 136945732
120 	 7308.8 	 124281474
121 	 7308.76 	 126389511
122 	 7308.81 	 132512669
123 	 7308.67 	 298593085
124 	 7308.63 	 251504330
125 	 7308.66 	 150040350
126 	 7308.69 	 150009152
127 	 7309.43 	 149999998
128 	 7308.51 	 337317018
129 	 7308.53 	 250973924
130 	 7308.53 	 250511420
131 	 7308.57 	 300694283
132 	 7309.31 	 149999998
133 	 7309.29 	 149999998
134 	 7308.35 	 246639120
135 	 7309.21 	 99999998
136 	 7309.19 	 99999998
137 	 7309.17 	 199999998
138 	 7309.15 	 199999998
139 	 7308.37 	 254995734
140 	 7308.27 	 246751291
141 	 7308.17 	 141259181
142 	 7308.27 	 388216035
143 	 7308.09 	 101853997
144 	 7308.95 	 99999998
145 	 7308.93 	 149999998
146 	 7308.9 	 249999998
147 	 7307.98 	 146356468
148 	 7308.82 	 149999998
149 	 7308.78 	 149999998
150 	 7307.82 	 117507559
151 	 7308.69 	 149999998
152 	 7308.65 	 149999998
153 	 7307.72 	 193305872
154 	 7307.68 	 107384797
155 	 7307.64 	 112811691
156 	 7308.51 	 249999998
157 	 7307.75 	 199257867
158 	 7308.44 	 149999998
159 	 7308.41 	 249999998
min 	 max 	 average 
57509826 		 699999998 		 198880831
