Number of available threads 160
Test name is Subtraction
Thread 	 Time 	 Iteration made 
0 	 3160.6 	 1190470311
1 	 3160.68 	 707453642
2 	 3160.85 	 618505442
3 	 3160.64 	 713897919
4 	 3160.84 	 193280809
5 	 3160.64 	 142571402
6 	 3160.64 	 165089246
7 	 3160.72 	 208577165
8 	 3160.68 	 180681760
9 	 3160.66 	 145292176
10 	 3160.7 	 151923075
11 	 3160.86 	 160037931
12 	 3160.71 	 93800149
13 	 3160.62 	 101930293
14 	 3160.59 	 106608068
15 	 3160.86 	 100270028
16 	 3160.78 	 134146674
17 	 3160.67 	 145380567
18 	 3160.58 	 136976052
19 	 3160.79 	 99894256
20 	 3160.7 	 215003503
21 	 3160.59 	 143051312
22 	 3160.59 	 135656991
23 	 3160.79 	 193633904
24 	 3160.57 	 403183264
25 	 3160.74 	 373706994
26 	 3160.76 	 184743417
27 	 3160.68 	 248671560
28 	 3160.82 	 80269550
29 	 3160.77 	 81504293
30 	 3160.75 	 114781213
31 	 3160.74 	 107431896
32 	 3160.62 	 74300120
33 	 3162.1 	 215684992
34 	 3160.57 	 66870570
35 	 3160.68 	 55300047
36 	 3160.65 	 41440312
37 	 3160.73 	 32592183
38 	 3160.63 	 36124098
39 	 3160.58 	 81493269
40 	 3160.58 	 32741307
41 	 3160.61 	 75020133
42 	 3160.58 	 27403834
43 	 3160.73 	 33694441
44 	 3160.73 	 34556310
45 	 3160.51 	 35327352
46 	 3160.51 	 36548177
47 	 3160.73 	 36778464
48 	 3160.65 	 34749438
49 	 3160.48 	 47339109
50 	 3160.46 	 544527324
51 	 3160.46 	 48269437
52 	 3160.46 	 36659824
53 	 3160.47 	 34327099
54 	 3160.44 	 31519309
55 	 3160.42 	 119263906
56 	 3160.42 	 66372880
57 	 3160.41 	 103854376
58 	 3159.71 	 106972969
59 	 3159.75 	 32229836
60 	 3159.71 	 95671855
61 	 3158.99 	 71387109
62 	 3160.4 	 28295613
63 	 3160.38 	 27274226
64 	 3160.38 	 28718559
65 	 3160.39 	 27572131
66 	 3160.38 	 28695843
67 	 3160.37 	 24854198
68 	 3160.36 	 151798708
69 	 3160.35 	 144210199
70 	 3160.47 	 100051315
71 	 3160.45 	 99649326
72 	 3160.45 	 93805334
73 	 3160.44 	 57668389
74 	 3160.43 	 61016628
75 	 3160.41 	 58812702
76 	 3160.3 	 211255629
77 	 3160.33 	 217692549
78 	 3160.34 	 31016396
79 	 3160.29 	 63475387
80 	 3160.27 	 62771566
81 	 3160.32 	 55849410
82 	 3160.28 	 90406767
83 	 3160.23 	 91020559
84 	 3160.25 	 60493880
85 	 3160.24 	 56882748
86 	 3160.33 	 341947596
87 	 3159.48 	 440169225
88 	 3160.23 	 53453892
89 	 3159.43 	 378001998
90 	 3159.5 	 46074036
91 	 3160.18 	 456397349
92 	 3160.24 	 470324215
93 	 3160.3 	 187025025
94 	 3160.17 	 195354967
95 	 3160.08 	 43772760
96 	 3160.09 	 41586489
97 	 3160.06 	 57553981
98 	 3160.04 	 78014760
99 	 3160.03 	 70851541
100 	 3160.02 	 25336647
101 	 3160.23 	 41915447
102 	 3160 	 24373592
103 	 3159.93 	 134907137
104 	 3159.64 	 43864115
105 	 3157.27 	 92672627
106 	 3158.74 	 128277877
107 	 3157.88 	 107690875
108 	 3160.16 	 59947381
109 	 3158.06 	 67567037
110 	 3158.7 	 158961097
111 	 3159.63 	 35424847
112 	 3159.62 	 29850749
113 	 3159.61 	 42205233
114 	 3159.6 	 42541471
115 	 3159.74 	 112215892
116 	 3159.57 	 538061650
117 	 3159.76 	 90869210
118 	 3159.62 	 90760670
119 	 3159.59 	 77261567
120 	 3159.72 	 134378845
121 	 3159.56 	 153881378
122 	 3159.63 	 142257193
123 	 3159.57 	 75470751
124 	 3159.6 	 399136130
125 	 3159.6 	 252064752
126 	 3159.6 	 178373855
127 	 3159.48 	 204910507
128 	 3159.48 	 193034286
129 	 3159.55 	 183119860
130 	 3159.28 	 197735172
131 	 3159.23 	 183400569
132 	 3159.29 	 78955416
133 	 3159.43 	 79267942
134 	 3159.32 	 75364552
135 	 3159.16 	 344982314
136 	 3159.29 	 112412733
137 	 3159.29 	 112161709
138 	 3159.15 	 132041272
139 	 3159.15 	 119307017
140 	 3159.08 	 66865914
141 	 3159.08 	 66546410
142 	 3159 	 61623939
143 	 3159.09 	 54064505
144 	 3159.03 	 52554020
145 	 3159.08 	 78581030
146 	 3159.11 	 78717617
147 	 3159.02 	 74761451
148 	 3159.04 	 43900120
149 	 3158.74 	 69308069
150 	 3158.84 	 17798939
151 	 3158.84 	 18458871
152 	 3158.8 	 19076443
153 	 3158.8 	 19522105
154 	 3158.82 	 34181430
155 	 3158.77 	 31797756
156 	 3158.47 	 168518141
157 	 3158.49 	 23277621
158 	 3158.52 	 21868630
159 	 3158.37 	 160165882
min 	 max 	 average 
17798939 		 1190470311 		 132873819
