Number of available threads 160
Test name is Addition
Thread 	 Time 	 Iteration made 
0 	 19.46 	 21424646
1 	 20.02 	 21961951
2 	 20.18 	 22051610
3 	 20.62 	 21911315
4 	 20.62 	 25930795
5 	 20.62 	 22177219
6 	 20.61 	 21875924
7 	 20.61 	 22139543
8 	 20.6 	 21865907
9 	 20.6 	 21991252
10 	 20.61 	 22563789
11 	 20.6 	 22501599
12 	 20.59 	 25539903
13 	 20.58 	 21868599
14 	 20.59 	 22534925
15 	 20.58 	 22226531
16 	 20.57 	 21897980
17 	 20.57 	 21852196
18 	 20.57 	 22384430
19 	 20.57 	 22523313
20 	 20.55 	 25963775
21 	 20.57 	 22378331
22 	 20.54 	 21835095
23 	 20.54 	 22089899
24 	 20.55 	 22069202
25 	 20.53 	 21895982
26 	 20.55 	 22541530
27 	 20.53 	 22004324
28 	 20.52 	 25928872
29 	 20.52 	 22531652
30 	 20.51 	 22115075
31 	 20.52 	 21861879
32 	 20.52 	 21834171
33 	 20.5 	 21902027
34 	 20.5 	 21837569
35 	 20.47 	 22330142
36 	 20.47 	 26420890
37 	 20.46 	 22244456
38 	 20.49 	 22208703
39 	 20.46 	 22380933
40 	 20.49 	 22173157
41 	 20.44 	 22011214
42 	 20.48 	 22432127
43 	 20.42 	 22105149
44 	 20.39 	 25909799
45 	 20.39 	 21858797
46 	 20.36 	 22214146
47 	 20.49 	 22522433
48 	 20.49 	 22038287
49 	 20.36 	 22011076
50 	 20.46 	 22209060
51 	 20.48 	 22362326
52 	 20.38 	 25936336
53 	 20.32 	 21858829
54 	 20.4 	 22036370
55 	 20.4 	 22042097
56 	 20.46 	 21931386
57 	 20.31 	 21820207
58 	 20.36 	 21891562
59 	 20.35 	 22253694
60 	 20.36 	 27495721
61 	 20.41 	 27920004
62 	 20.34 	 28598202
63 	 20.29 	 23039377
64 	 20.38 	 26065401
65 	 20.27 	 29397088
66 	 20.34 	 27903883
67 	 20.37 	 28392588
68 	 20.28 	 18458449
69 	 20.3 	 21772709
70 	 20.44 	 21743912
71 	 20.44 	 21577110
72 	 20.32 	 30638630
73 	 20.41 	 21922586
74 	 20.23 	 21703527
75 	 20.27 	 22046804
76 	 20.43 	 26391147
77 	 20.26 	 22252162
78 	 20.33 	 21862511
79 	 20.28 	 21886950
80 	 20.42 	 21944061
81 	 20.34 	 21871635
82 	 20.23 	 22458595
83 	 20.33 	 22097366
84 	 20.42 	 25827487
85 	 20.26 	 22215384
86 	 20.29 	 21983458
87 	 20.45 	 22298245
88 	 20.25 	 22003730
89 	 20.24 	 22387019
90 	 20.25 	 22379431
91 	 20.22 	 22435259
92 	 20.25 	 26006573
93 	 20.31 	 22444706
94 	 20.32 	 22039287
95 	 20.24 	 22081860
96 	 20.21 	 22402397
97 	 20.37 	 22060131
98 	 20.21 	 22130185
99 	 20.39 	 22219762
100 	 20.32 	 25865000
101 	 20.28 	 22070385
102 	 20.43 	 22045231
103 	 20.4 	 22034202
104 	 20.2 	 22129115
105 	 20.22 	 22269767
106 	 20.23 	 22431965
107 	 20.2 	 22113745
108 	 20.21 	 25954622
109 	 20.31 	 22610307
110 	 20.19 	 22466822
111 	 20.19 	 22476061
112 	 20.18 	 22006761
113 	 20.17 	 22077383
114 	 20.17 	 21916003
115 	 20.17 	 22265510
116 	 20.16 	 26206264
117 	 20.16 	 21868900
118 	 20.15 	 21851101
119 	 20.15 	 21659342
120 	 20.14 	 21818128
121 	 20.14 	 22063165
122 	 20.14 	 21787309
123 	 20.14 	 22213980
124 	 20.13 	 26247865
125 	 20.12 	 21931846
126 	 20.12 	 21863403
127 	 20.12 	 21926187
128 	 20.12 	 22074090
129 	 20.11 	 21934993
130 	 20.1 	 21880447
131 	 20.1 	 21856141
132 	 20.11 	 26125376
133 	 20.09 	 21855137
134 	 20.08 	 21776175
135 	 20.08 	 21828259
136 	 20.08 	 21961878
137 	 20.08 	 21988017
138 	 20.08 	 22013798
139 	 20.06 	 21852650
140 	 20.07 	 26635724
141 	 20.06 	 21856869
142 	 20.06 	 22013115
143 	 20.06 	 22395323
144 	 20.04 	 21819141
145 	 20.04 	 21803595
146 	 20.04 	 21864679
147 	 20.03 	 21846101
148 	 20.03 	 25796057
149 	 20.03 	 21932170
150 	 20.02 	 21716668
151 	 20.03 	 22017235
152 	 20.02 	 22058408
153 	 20 	 21829673
154 	 20 	 21807963
155 	 20.01 	 21960933
156 	 20 	 26623403
157 	 20 	 22158052
158 	 19.99 	 21960516
159 	 20.62 	 29697072
min 	 max 	 average 
18458449 		 30638630 		 22854258
Test name is Subtraction
Thread 	 Time 	 Iteration made 
0 	 20.11 	 21637561
1 	 20.59 	 22569133
2 	 20.78 	 22725507
3 	 21.04 	 22553290
4 	 21.03 	 27213982
5 	 21.03 	 23048807
6 	 21.03 	 22997915
7 	 21.02 	 22749307
8 	 21.02 	 22604485
9 	 21.01 	 23049480
10 	 21.01 	 22978879
11 	 21.01 	 22948180
12 	 21 	 27120621
13 	 21 	 22922112
14 	 20.99 	 23237638
