Number of available threads 160
Test name is Exponenta
Thread 	 Time 	 Iteration made 
0 	 3117.94 	 131888576
1 	 3119.14 	 96273273
2 	 3117.98 	 108595577
3 	 3118.14 	 99011033
4 	 3118.12 	 32940729
5 	 3118.07 	 19889702
6 	 3117.98 	 29864292
7 	 3117.95 	 31107345
8 	 3118.09 	 21582821
9 	 3118.16 	 25513516
10 	 3117.99 	 39031173
11 	 3117.95 	 37530945
12 	 3118.01 	 47632106
13 	 3118.03 	 52372845
14 	 3118.07 	 31017747
15 	 3118.15 	 20042497
16 	 3118 	 29104634
17 	 3117.94 	 31153093
18 	 3117.96 	 39814662
19 	 3118.11 	 38249929
20 	 3117.97 	 70150856
21 	 3118 	 89769266
22 	 3118.02 	 23959288
23 	 3117.96 	 77564208
24 	 3117.93 	 51972441
25 	 3118.01 	 24916246
26 	 3117.94 	 24455509
27 	 3117.95 	 24408091
28 	 3117.94 	 27477636
29 	 3118 	 27268426
30 	 3118.09 	 36628621
31 	 3117.93 	 27819372
32 	 3117.93 	 79062199
33 	 3117.97 	 90523107
34 	 3117.94 	 38943524
35 	 3117.89 	 55268558
36 	 3117.95 	 9950701
37 	 3117.92 	 16598704
38 	 3117.93 	 16800396
39 	 3117.91 	 13357388
40 	 3117.94 	 9554404
41 	 3117.87 	 12772325
42 	 3117.9 	 16279304
43 	 3117.99 	 16007180
44 	 3117.91 	 2602889
45 	 3117.94 	 3124691
46 	 3117.97 	 9528680
47 	 3117.87 	 57175013
48 	 3117.92 	 2960373
49 	 3118.05 	 3978059
50 	 3117.83 	 4126946
51 	 3118 	 6026072
52 	 3117.97 	 14979954
53 	 3117.8 	 44254983
54 	 3117.38 	 60529498
55 	 3117.39 	 14519372
56 	 3116.48 	 14403605
57 	 3116.87 	 59130104
58 	 3117.01 	 14285204
59 	 3116.96 	 42171213
60 	 3116.92 	 14038239
61 	 3116.33 	 46822138
62 	 3116.88 	 34730354
63 	 3116.29 	 11903799
64 	 3117 	 14922446
65 	 3116.63 	 61162105
66 	 3116.92 	 66267542
67 	 3116.33 	 13831456
68 	 3116.27 	 7391636
69 	 3116.36 	 11824984
70 	 3115.25 	 14474704
71 	 3116.25 	 14668787
72 	 3117.67 	 21724243
73 	 3118.68 	 8108719
74 	 3117.83 	 16378457
75 	 3117.67 	 9949374
76 	 3118.36 	 5154839
77 	 3117.84 	 5431690
78 	 3117.63 	 35926617
79 	 3117.62 	 11041151
80 	 3117.62 	 37709832
81 	 3117.23 	 6432660
82 	 3115.98 	 37149059
83 	 3116.31 	 5564665
84 	 3116.06 	 12279044
85 	 3116.01 	 11947705
86 	 3116.64 	 11973275
87 	 3116.59 	 11904325
88 	 3116.56 	 42917623
89 	 3116.39 	 43752903
90 	 3117.17 	 4054987
91 	 3115.92 	 8079395
92 	 3115.8 	 15847557
93 	 3115.62 	 38358959
94 	 3114.99 	 39092831
95 	 3116.71 	 38839393
96 	 3117.6 	 9292969
97 	 3117.67 	 4843100
98 	 3117.65 	 4814758
99 	 3117.64 	 4763841
100 	 3117.59 	 20066204
101 	 3117.61 	 20090807
102 	 3117.69 	 19879271
103 	 3117.44 	 99486407
104 	 3117.53 	 21103889
105 	 3117.54 	 19250448
106 	 3117.44 	 25584807
107 	 3117.43 	 27357042
108 	 3117.42 	 47502567
109 	 3117.61 	 12339812
110 	 3117.53 	 12331798
111 	 3117.27 	 32052638
112 	 3117.37 	 22392681
113 	 3117.32 	 22654113
114 	 3117.35 	 22786413
115 	 3117.3 	 50286623
116 	 3117.29 	 22768452
117 	 3117.38 	 23625831
118 	 3117.28 	 31816355
119 	 3117.13 	 31670739
120 	 3117.27 	 59467845
121 	 3117.19 	 18404442
122 	 3117.18 	 18926334
123 	 3117.09 	 44707076
124 	 3117.06 	 21564285
125 	 3117.07 	 29913176
126 	 3117.07 	 34232960
127 	 3117.03 	 25111185
128 	 3117.02 	 18758017
129 	 3117.01 	 18828232
130 	 3116.98 	 19437524
131 	 3117.17 	 47808718
132 	 3117.17 	 11412993
133 	 3117.15 	 11527775
134 	 3117.12 	 11562998
135 	 3116.96 	 14342167
136 	 3116.91 	 14604999
137 	 3116.9 	 14878182
138 	 3116.89 	 14407230
139 	 3116.96 	 41342855
140 	 3116.8 	 49596790
141 	 3117 	 24975383
142 	 3116.96 	 25110015
143 	 3116.77 	 25401257
144 	 3116.85 	 13356772
145 	 3116.83 	 13377837
146 	 3116.8 	 13575240
147 	 3116.75 	 13389216
148 	 3116.75 	 12861679
149 	 3116.8 	 13039221
150 	 3116.59 	 6443001
151 	 3116.61 	 6410837
152 	 3116.58 	 6516106
153 	 3116.53 	 12269169
154 	 3116.5 	 7624137
155 	 3116.48 	 8018442
156 	 3116.61 	 2181638
157 	 3117.56 	 1428022
158 	 3115.37 	 1430187
159 	 3116.34 	 41684638
min 	 max 	 average 
1428022 		 131888576 		 27426678
