Number of available threads 160
Test name is SQRT
Thread 	 Time 	 Iteration made 
0 	 3152.84 	 414979798
1 	 3152.92 	 221454035
2 	 3152.95 	 217754488
3 	 3153.09 	 111122009
4 	 3153.04 	 16948662
5 	 3152.96 	 18186403
6 	 3152.87 	 18008898
7 	 3152.98 	 19117194
8 	 3152.87 	 13964516
9 	 3152.9 	 12215711
10 	 3153 	 28278335
11 	 3153.01 	 14001276
12 	 3152.84 	 11322489
13 	 3152.84 	 7686042
14 	 3152.83 	 172367528
15 	 3152.85 	 13232168
16 	 3152.91 	 16745728
17 	 3153 	 16654736
18 	 3153.06 	 10649228
19 	 3153.02 	 7277721
20 	 3152.86 	 29760889
21 	 3152.97 	 21099832
22 	 3152.83 	 16863797
23 	 3152.88 	 25036129
24 	 3152.82 	 20997842
25 	 3152.83 	 20417277
26 	 3152.85 	 20751493
27 	 3152.82 	 24367101
28 	 3153.04 	 32254285
29 	 3152.8 	 47176850
30 	 3153.05 	 32563116
31 	 3152.92 	 21704084
32 	 3152.91 	 21842446
33 	 3152.84 	 26161499
34 	 3152.93 	 23750199
35 	 3152.84 	 49781625
36 	 3152.91 	 74562229
37 	 3152.78 	 61065931
38 	 3152.85 	 46289409
39 	 3152.85 	 59472602
40 	 3152.82 	 47661108
41 	 3152.74 	 57969114
42 	 3152.82 	 51289501
43 	 3152.78 	 39577843
44 	 3152.73 	 53217017
45 	 3152.72 	 53455406
46 	 3152.79 	 58129027
47 	 3152.79 	 44529783
48 	 3152.84 	 116282176
49 	 3152.79 	 45848036
50 	 3152.79 	 44783207
51 	 3152.69 	 95194711
52 	 3152.71 	 32033191
53 	 3152.87 	 110075782
54 	 3152.26 	 113973446
55 	 3151.95 	 68963417
56 	 3152.76 	 28365252
57 	 3151.29 	 59435692
58 	 3152.75 	 31027038
59 	 3153.34 	 91328910
60 	 3152.61 	 33018328
61 	 3152.6 	 116364125
62 	 3152.6 	 51241094
63 	 3152.6 	 31359221
64 	 3152.59 	 31481896
65 	 3152.56 	 67716467
66 	 3152.54 	 40010316
67 	 3152.54 	 28209446
68 	 3152.26 	 51064585
69 	 3151.14 	 142955862
70 	 3151.27 	 38476177
71 	 3151.15 	 39935047
72 	 3151.07 	 93475793
73 	 3150.96 	 32785826
74 	 3152.51 	 112280408
75 	 3151.07 	 39485216
76 	 3150.91 	 38237889
77 	 3151.43 	 137159236
78 	 3151.67 	 33805203
79 	 3151.77 	 119873503
80 	 3151.58 	 39036566
81 	 3152.46 	 86350554
82 	 3152.39 	 165221223
83 	 3152.56 	 98898438
84 	 3152.58 	 8755064
85 	 3152.58 	 8805136
86 	 3152.52 	 8896937
87 	 3152.56 	 8579310
88 	 3152.32 	 15648616
89 	 3152.32 	 15795419
90 	 3152.28 	 15450047
91 	 3152.27 	 14295606
92 	 3152.26 	 154557931
93 	 3152.24 	 156768685
94 	 3152.44 	 12759861
95 	 3152.36 	 12838322
96 	 3152.4 	 13148578
97 	 3152.29 	 6311707
98 	 3152.24 	 6276320
99 	 3152.21 	 6455640
100 	 3152.15 	 13609807
101 	 3152.15 	 7960869
102 	 3152.14 	 8199674
103 	 3152.2 	 9415307
104 	 3152.09 	 9104670
105 	 3152.29 	 19797935
106 	 3152.01 	 83128425
107 	 3152 	 82401720
108 	 3151.99 	 67211960
109 	 3151.98 	 67878966
110 	 3151.84 	 57685964
111 	 3151.78 	 18393119
112 	 3151.69 	 66752563
113 	 3151.83 	 13078331
114 	 3151.83 	 13442245
115 	 3151.8 	 12130817
116 	 3151.82 	 41744843
117 	 3151.74 	 16806289
118 	 3151.53 	 7485820
119 	 3151.76 	 7967236
120 	 3151.72 	 8107786
121 	 3151.68 	 8356672
122 	 3151.63 	 6818348
123 	 3151.55 	 16085785
124 	 3151.53 	 16045183
125 	 3151.31 	 16137750
126 	 3151.27 	 17968908
127 	 3151.33 	 13277858
128 	 3151.3 	 11645857
129 	 3151.14 	 13171125
130 	 3151.12 	 13368334
131 	 3151.1 	 12075817
132 	 3151.03 	 30794447
133 	 3151.16 	 30775321
134 	 3150.98 	 15013478
135 	 3151.03 	 14567493
136 	 3150.93 	 15088907
137 	 3151.63 	 11624649
138 	 3150.92 	 11527687
139 	 3150.89 	 20836696
140 	 3150.77 	 14650969
141 	 3150.7 	 53170198
142 	 3150.64 	 14219883
143 	 3150.58 	 21227455
144 	 3150.41 	 10266744
145 	 3150.38 	 10578537
146 	 3150.3 	 10296292
147 	 3150.26 	 10288466
148 	 3150.17 	 11411901
149 	 3150.21 	 10975821
150 	 3150.06 	 6754022
151 	 3149.97 	 6821619
152 	 3149.91 	 6921387
153 	 3149.97 	 7017123
154 	 3149.77 	 24058163
155 	 3149.87 	 16189441
156 	 3149.67 	 14299431
157 	 3149.69 	 6167201
158 	 3149.53 	 6046831
159 	 3150.22 	 130764109
min 	 max 	 average 
6046831 		 414979798 		 42090131
