Number of available threads 160
Test name is Sinus
Thread 	 Time 	 Iteration made 
0 	 3158.55 	 166638088
1 	 3158.71 	 83869002
2 	 3158.76 	 83775290
3 	 3158.58 	 83671920
4 	 3158.79 	 75048277
5 	 3158.59 	 49485043
6 	 3158.62 	 72171126
7 	 3158.54 	 72027818
8 	 3158.79 	 53263716
9 	 3158.65 	 50181071
10 	 3158.75 	 75873710
11 	 3158.69 	 75835274
12 	 3158.59 	 79804684
13 	 3158.74 	 90169082
14 	 3158.61 	 77817540
15 	 3159.61 	 47842456
16 	 3158.75 	 70164100
17 	 3158.73 	 36836931
18 	 3158.67 	 74842455
19 	 3158.64 	 69339650
20 	 3158.58 	 27880706
21 	 3158.68 	 96707423
22 	 3158.73 	 104855832
23 	 3158.59 	 85620471
24 	 3158.57 	 28888807
25 	 3158.52 	 73879301
26 	 3158.52 	 56205458
27 	 3158.52 	 58434653
28 	 3158.52 	 58250197
29 	 3158.62 	 62947924
30 	 3158.52 	 119219418
31 	 3158.74 	 84970320
32 	 3158.62 	 121834958
33 	 3158.55 	 125907134
34 	 3158.53 	 25229397
35 	 3158.52 	 23758583
36 	 3158.52 	 27944800
37 	 3158.54 	 20171367
38 	 3158.53 	 19268676
39 	 3158.54 	 17599771
40 	 3158.54 	 25319728
41 	 3158.47 	 34460458
42 	 3158.47 	 34646194
43 	 3158.53 	 34436890
44 	 3158.49 	 25499129
45 	 3158.46 	 27709971
46 	 3158.49 	 29695631
47 	 3158.51 	 23946943
48 	 3158.51 	 148060817
49 	 3158.46 	 26814596
50 	 3158.57 	 187651386
51 	 3158.54 	 24697207
52 	 3158.42 	 40391995
53 	 3158.53 	 160832332
54 	 3159.47 	 12139489
55 	 3158.47 	 227243284
56 	 3158.41 	 35774112
57 	 3157.85 	 186610458
58 	 3158.37 	 34091842
59 	 3157.68 	 29650396
60 	 3158.43 	 36504372
61 	 3158.43 	 37399357
62 	 3156.98 	 98895347
63 	 3158.52 	 104055528
64 	 3158.3 	 17701009
65 	 3158.3 	 16130393
66 	 3158.29 	 25559667
67 	 3158.29 	 22754440
68 	 3158.5 	 178741846
69 	 3158.46 	 137681710
70 	 3156.6 	 22013005
71 	 3156.85 	 77201252
72 	 3157.64 	 131960563
73 	 3156.81 	 111447834
74 	 3156.68 	 11803790
75 	 3156.7 	 25595389
76 	 3157.07 	 17320966
77 	 3157.39 	 12903031
78 	 3156.99 	 13289805
79 	 3156.89 	 62036582
80 	 3155.96 	 15899532
81 	 3156.86 	 19702050
82 	 3156.16 	 18085939
83 	 3156.7 	 59689133
84 	 3155.93 	 14867539
85 	 3158.12 	 71711142
86 	 3158.28 	 7468094
87 	 3158.27 	 7339550
88 	 3158.27 	 7879915
89 	 3158.21 	 7909335
90 	 3158.09 	 15186274
91 	 3158.28 	 14433588
92 	 3158.06 	 32080629
93 	 3158.05 	 28897746
94 	 3158.04 	 18124707
95 	 3158.03 	 18374656
96 	 3158.02 	 27352493
97 	 3158.02 	 20592099
98 	 3157.99 	 19310406
99 	 3157.98 	 18681517
100 	 3157.97 	 37725155
101 	 3157.96 	 34143899
102 	 3158.11 	 18853520
103 	 3158.09 	 19867259
104 	 3158.08 	 19371184
105 	 3157.96 	 21616598
106 	 3157.95 	 22310860
107 	 3158.04 	 19113374
108 	 3157.86 	 35679933
109 	 3157.86 	 34332223
110 	 3157.7 	 30778632
111 	 3157.59 	 29103129
112 	 3157.7 	 22037751
113 	 3157.6 	 149702947
114 	 3157.69 	 49355808
115 	 3157.63 	 45810908
116 	 3157.64 	 95675844
117 	 3157.59 	 50479381
118 	 3157.47 	 45435039
119 	 3157.46 	 38995787
120 	 3157.52 	 37865563
121 	 3157.4 	 32861438
122 	 3157.51 	 34203275
123 	 3157.37 	 102895877
124 	 3157.54 	 28497750
125 	 3157.53 	 30488513
126 	 3157.51 	 29791918
127 	 3157.28 	 29349475
128 	 3157.41 	 27680426
129 	 3157.27 	 216192803
130 	 3157.22 	 215163772
131 	 3157.18 	 29023544
132 	 3157.35 	 30254189
133 	 3157.21 	 31054929
134 	 3157.24 	 30101472
135 	 3157.16 	 46034377
136 	 3157.3 	 21347438
137 	 3157.3 	 22199360
138 	 3157.27 	 21614134
139 	 3157.19 	 31168242
140 	 3157.19 	 111728172
141 	 3157.12 	 15706200
142 	 3156.87 	 15454708
143 	 3156.84 	 15174290
144 	 3156.82 	 15446668
145 	 3156.78 	 14853137
146 	 3156.83 	 38296838
147 	 3156.81 	 35896125
148 	 3156.79 	 37906426
149 	 3156.79 	 29307373
150 	 3156.82 	 110064429
151 	 3156.79 	 47024442
152 	 3156.63 	 103309788
153 	 3156.57 	 46068938
154 	 3156.52 	 36902274
155 	 3156.65 	 36613408
156 	 3156.47 	 28853963
157 	 3156.43 	 30837464
158 	 3156.53 	 25210806
159 	 3156.33 	 110640500
min 	 max 	 average 
7339550 		 227243284 		 52849757
