Number of available threads 160
Test name is Asin
Thread 	 Time 	 Iteration made 
0 	 3108.43 	 96532584
1 	 3108.55 	 7645904
2 	 3108.37 	 7786348
3 	 3108.35 	 10028210
4 	 3108.49 	 16960205
5 	 3108.31 	 11108873
6 	 3108.29 	 10460439
7 	 3108.4 	 16441910
8 	 3108.29 	 13424300
9 	 3108.48 	 14842655
10 	 3108.28 	 25751233
11 	 3108.33 	 13908113
12 	 3108.45 	 5762404
13 	 3108.27 	 25578608
14 	 3108.51 	 15802177
15 	 3108.27 	 10266141
16 	 3108.42 	 34206458
17 	 3108.45 	 6619979
18 	 3108.45 	 5770746
19 	 3108.27 	 25794674
20 	 3108.3 	 7096183
21 	 3108.32 	 5027392
22 	 3108.39 	 7032560
23 	 3109.34 	 5129515
24 	 3108.26 	 4697034
25 	 3108.26 	 4474489
26 	 3109.01 	 4004272
27 	 3108.49 	 82627926
28 	 3108.5 	 81200580
29 	 3108.25 	 5080112
30 	 3108.29 	 9897038
31 	 3108.47 	 6770993
32 	 3108.39 	 7887944
33 	 3108.31 	 10073769
34 	 3108.22 	 12367298
35 	 3108.23 	 4817960
36 	 3108.32 	 6951982
37 	 3108.3 	 6728525
38 	 3108.32 	 6863782
39 	 3108.32 	 6909631
40 	 3108.32 	 6885202
41 	 3108.32 	 7029704
42 	 3108.22 	 38106933
43 	 3108.23 	 7635143
44 	 3108.34 	 6721631
45 	 3108.29 	 10119619
46 	 3108.17 	 2754348
47 	 3108.24 	 2668670
48 	 3108.24 	 2612345
49 	 3108.17 	 8053878
50 	 3108.31 	 6371595
51 	 3108.22 	 84513626
52 	 3108.29 	 11563656
53 	 3107.68 	 13570604
54 	 3107.88 	 27558231
55 	 3108.12 	 9216866
56 	 3107.49 	 13680951
57 	 3107.47 	 15920805
58 	 3108.15 	 12266069
59 	 3107.08 	 26542711
60 	 3108.22 	 5239916
61 	 3107.51 	 52379307
62 	 3107.39 	 10095001
63 	 3108.11 	 8157103
64 	 3108.3 	 52955909
65 	 3107.21 	 7175264
66 	 3107.29 	 6117410
67 	 3106.76 	 8402359
68 	 3106.61 	 4115924
69 	 3106.6 	 5856501
70 	 3106.41 	 12048246
71 	 3107.12 	 6377403
72 	 3105.44 	 6193169
73 	 3108.13 	 71646034
74 	 3107.66 	 7257620
75 	 3106.51 	 5138923
76 	 3105.88 	 6481584
77 	 3105.8 	 7173600
78 	 3106 	 6231208
79 	 3106.15 	 5441877
80 	 3107.34 	 3031221
81 	 3107.62 	 4081622
82 	 3106.16 	 70154100
83 	 3105.57 	 7345999
84 	 3105.83 	 39702917
85 	 3107.2 	 17523176
86 	 3106.65 	 22450099
87 	 3107.14 	 13851691
88 	 3106.54 	 13200453
89 	 3105.98 	 17530708
90 	 3105.91 	 23969766
91 	 3106.59 	 5935317
92 	 3104.83 	 44633316
93 	 3107.29 	 122384608
94 	 3106.28 	 231576011
95 	 3108.11 	 12268385
96 	 3108 	 12272953
97 	 3108.04 	 12682086
98 	 3108.04 	 20852564
99 	 3108.03 	 20898504
100 	 3107.96 	 21777888
101 	 3108.07 	 21918653
102 	 3108.06 	 23032502
103 	 3108.02 	 23465293
104 	 3107.94 	 23993828
105 	 3107.99 	 24892237
106 	 3107.97 	 25363938
107 	 3108.03 	 24048280
108 	 3107.85 	 20019523
109 	 3107.91 	 23613137
110 	 3107.85 	 51528712
111 	 3107.59 	 27681831
112 	 3107.65 	 44791838
113 	 3107.68 	 24666169
114 	 3107.61 	 24538575
115 	 3107.55 	 53797608
116 	 3107.49 	 77627267
117 	 3107.59 	 33197374
118 	 3107.6 	 19047543
119 	 3107.49 	 19657719
120 	 3107.48 	 12654660
121 	 3107.48 	 52713840
122 	 3107.45 	 12771065
123 	 3107.44 	 12965820
124 	 3107.42 	 51385894
125 	 3107.4 	 16739315
126 	 3107.6 	 17082305
127 	 3107.37 	 16928332
128 	 3107.35 	 15472386
129 	 3107.38 	 21811178
130 	 3107.4 	 21578044
131 	 3107.54 	 21886115
132 	 3107.34 	 26239896
133 	 3107.47 	 26040636
134 	 3107.31 	 20468086
135 	 3107.33 	 20394481
136 	 3107.27 	 20416759
137 	 3107.19 	 35447516
138 	 3107.19 	 35609116
139 	 3107.2 	 35844729
140 	 3107.14 	 29386838
141 	 3107.13 	 30185331
142 	 3107.12 	 30917973
143 	 3107.17 	 23521716
144 	 3107.13 	 23967997
145 	 3107.12 	 14250272
146 	 3107.2 	 13914837
147 	 3107.2 	 14168437
148 	 3107.22 	 8660640
149 	 3107.13 	 8585322
150 	 3107.16 	 8552510
151 	 3107.06 	 8603565
152 	 3107.1 	 8463448
153 	 3106.89 	 40655986
154 	 3106.87 	 43776426
155 	 3107.08 	 35683623
156 	 3106.8 	 2648096
157 	 3107.04 	 62141268
158 	 3106.76 	 2598987
159 	 3106.79 	 66383420
min 	 max 	 average 
2598987 		 231576011 		 22282063
