Number of available threads 160
Test name is Multiplication by 2 but shifting uses
Thread 	 Time 	 Iteration made 
0 	 3101.04 	 840125553
1 	 3100.92 	 291494353
2 	 3100.86 	 228911492
3 	 3100.84 	 452211080
4 	 3100.94 	 179198215
5 	 3100.9 	 377899793
6 	 3100.85 	 164633432
7 	 3100.82 	 182603066
8 	 3100.85 	 220790573
9 	 3100.83 	 155230818
10 	 3101.08 	 140212695
11 	 3100.94 	 204072042
12 	 3100.87 	 32477937
13 	 3101.06 	 24017183
14 	 3100.91 	 28818492
15 	 3101.03 	 35758153
16 	 3100.9 	 33042416
17 	 3100.82 	 15810162
18 	 3100.83 	 701444616
19 	 3101.04 	 60129324
20 	 3100.93 	 110414814
21 	 3100.95 	 26245228
22 	 3100.95 	 25807226
23 	 3100.94 	 27121172
24 	 3100.94 	 64252335
25 	 3100.86 	 79324767
26 	 3102.1 	 52637265
27 	 3101.04 	 103179401
28 	 3100.96 	 331668514
29 	 3101.19 	 235406139
30 	 3100.79 	 51032008
31 	 3100.82 	 147209856
32 	 3100.83 	 208928203
33 	 3100.78 	 53643520
34 	 3100.78 	 56378024
35 	 3100.78 	 58014826
36 	 3100.83 	 181279684
37 	 3100.93 	 61123054
38 	 3100.97 	 90439832
39 	 3100.92 	 51911743
40 	 3100.86 	 163069041
41 	 3100.93 	 58127127
42 	 3100.81 	 246750634
43 	 3101.73 	 51649076
44 	 3100.83 	 25495567
45 	 3100.87 	 15174150
46 	 3100.73 	 40162703
47 	 3100.75 	 23314687
48 	 3100.72 	 30723114
49 	 3100.83 	 46515046
50 	 3100.69 	 398623797
51 	 3100.69 	 27610587
52 	 3100.67 	 194656800
53 	 3100.4 	 192581489
54 	 3100.29 	 27586115
55 	 3100.46 	 25939859
56 	 3099.61 	 36862428
57 	 3099.78 	 29300152
58 	 3099.69 	 43746541
59 	 3099.85 	 46938880
60 	 3099.22 	 41096651
61 	 3099.79 	 26405225
62 	 3099.29 	 29089534
63 	 3099.67 	 33563198
64 	 3099.07 	 30306287
65 	 3099.16 	 37040634
66 	 3097.7 	 155311563
67 	 3097.04 	 32418166
68 	 3100.8 	 61918351
69 	 3098.49 	 80952321
70 	 3099.06 	 177280920
71 	 3098.4 	 96355676
72 	 3099.16 	 96770412
73 	 3098.45 	 175719574
74 	 3098.42 	 82642137
75 	 3100.75 	 63917994
76 	 3099.2 	 309778339
77 	 3099.19 	 137761560
78 	 3099.17 	 77949458
79 	 3100.71 	 44454217
80 	 3100.68 	 18127469
81 	 3100.45 	 26600662
82 	 3100.55 	 17928793
83 	 3100.69 	 18037311
84 	 3100.45 	 48220780
85 	 3100.59 	 30286588
86 	 3100.54 	 44675039
87 	 3100.55 	 34684293
88 	 3100.54 	 28873908
89 	 3100.42 	 49962703
90 	 3100.42 	 45447251
91 	 3100.54 	 94158792
92 	 3100.41 	 50277231
93 	 3100.55 	 48320048
94 	 3100.61 	 267116721
95 	 3100.47 	 89576712
96 	 3100.37 	 62714974
97 	 3100.48 	 112005602
98 	 3100.5 	 110117125
99 	 3100.5 	 123223140
100 	 3100.43 	 85117030
101 	 3100.25 	 94788984
102 	 3100.44 	 70942186
103 	 3100.33 	 57240048
104 	 3100.24 	 402472276
105 	 3100.28 	 70718932
106 	 3100.43 	 78426726
107 	 3100.35 	 77677382
108 	 3100.34 	 99749014
109 	 3100.36 	 100732914
110 	 3100.29 	 67903849
111 	 3100.04 	 199862197
112 	 3099.99 	 80950970
113 	 3099.98 	 80725676
114 	 3100.04 	 114975925
115 	 3099.94 	 126757587
116 	 3099.88 	 76887164
117 	 3099.85 	 71984619
118 	 3099.94 	 254832952
119 	 3099.8 	 71982093
120 	 3099.81 	 69607544
121 	 3099.76 	 62317224
122 	 3099.82 	 130194750
123 	 3099.79 	 133879072
124 	 3099.76 	 40811418
125 	 3099.74 	 41413410
126 	 3099.7 	 38309775
127 	 3099.61 	 26988105
128 	 3099.6 	 26979053
129 	 3099.57 	 24849631
130 	 3099.72 	 24914886
131 	 3099.54 	 20989312
132 	 3099.57 	 17334877
133 	 3099.49 	 321357493
134 	 3099.64 	 17196318
135 	 3099.49 	 17821014
136 	 3099.42 	 145237624
137 	 3099.44 	 32527260
138 	 3099.42 	 34463207
139 	 3099.45 	 52539684
140 	 3099.55 	 37508588
141 	 3099.51 	 58460806
142 	 3099.37 	 39308533
143 	 3099.16 	 90932186
144 	 3099.17 	 44840007
145 	 3099.11 	 43362879
146 	 3098.98 	 44979847
147 	 3099 	 35201855
148 	 3099.06 	 143700706
149 	 3098.8 	 79846927
150 	 3098.8 	 20000057
151 	 3098.88 	 57901456
152 	 3098.71 	 19691175
153 	 3098.7 	 19197626
154 	 3098.59 	 19294748
155 	 3098.62 	 113321364
156 	 3098.5 	 52986133
157 	 3098.42 	 29934789
158 	 3098.42 	 46527797
159 	 3098.38 	 421285397
min 	 max 	 average 
15174150 		 840125553 		 101272232
