Number of available threads 160
Test name is Sorted Array
Thread 	 Time 	 Iteration made 
0 	 3263.11 	 2
1 	 3321.03 	 2
2 	 3349.12 	 2
3 	 3346.14 	 2
4 	 3342.7 	 2
5 	 3330.29 	 2
6 	 3348.08 	 2
7 	 3348.66 	 2
8 	 3269.87 	 2
9 	 3258.6 	 2
10 	 3265.97 	 2
11 	 3349.7 	 2
12 	 3348.4 	 2
13 	 3297.42 	 2
14 	 3324.61 	 2
15 	 3264.72 	 2
16 	 3346.27 	 2
17 	 3346.9 	 2
18 	 3266.54 	 2
19 	 3342.27 	 2
20 	 3348.1 	 2
21 	 3338.1 	 2
22 	 3347.67 	 2
23 	 3338.92 	 2
24 	 3265.22 	 2
25 	 3348.03 	 2
26 	 3345.61 	 2
27 	 3395.89 	 2
28 	 3343.27 	 2
29 	 3343.64 	 2
30 	 3349.71 	 2
31 	 3272.99 	 2
32 	 3394.16 	 2
33 	 3268.23 	 2
34 	 3272.35 	 2
35 	 3348.64 	 2
36 	 3252.16 	 2
37 	 3253.02 	 2
38 	 3267.67 	 2
39 	 3342.85 	 2
40 	 3346.2 	 2
41 	 3340.16 	 2
42 	 3297.06 	 2
43 	 3346.04 	 2
44 	 3348.16 	 2
45 	 3334.86 	 2
46 	 3343.99 	 2
47 	 3349.73 	 2
48 	 3335.52 	 2
49 	 3319.93 	 2
50 	 3350.29 	 2
51 	 3350.25 	 2
52 	 3326.87 	 2
53 	 3350.41 	 2
54 	 3342.37 	 2
55 	 3350.2 	 2
56 	 3346.13 	 2
57 	 3282.59 	 2
58 	 3326.69 	 2
59 	 3348.99 	 2
60 	 3350.06 	 2
61 	 3267.16 	 2
62 	 3265.63 	 2
63 	 3274.08 	 2
64 	 3324.33 	 2
65 	 3265.5 	 2
66 	 3246.04 	 2
67 	 3323.39 	 2
68 	 3259.16 	 2
69 	 3348.02 	 2
70 	 3330.3 	 2
71 	 3346.14 	 2
72 	 3341.88 	 2
73 	 3253.13 	 2
74 	 3348.46 	 2
75 	 3251.9 	 2
76 	 3349.94 	 2
77 	 3350.07 	 2
78 	 3269.03 	 2
79 	 3337.44 	 2
80 	 3269.26 	 2
81 	 3270.95 	 2
82 	 3311.99 	 2
83 	 3348.32 	 2
84 	 3394.98 	 2
85 	 3345.7 	 2
86 	 3336.29 	 2
87 	 3335.49 	 2
88 	 3348.18 	 2
89 	 3343.38 	 2
90 	 3346.69 	 2
91 	 3340.34 	 2
92 	 3393.86 	 2
93 	 3343.59 	 2
94 	 3344.07 	 2
95 	 3345.68 	 2
96 	 3328.2 	 2
97 	 3333.69 	 2
98 	 3330.18 	 2
99 	 3392.37 	 2
100 	 3345.23 	 2
101 	 3343.23 	 2
102 	 3319.78 	 2
103 	 3391.85 	 2
104 	 3343.23 	 2
105 	 3341.3 	 2
106 	 3337.61 	 2
107 	 3340.33 	 2
108 	 3327.99 	 2
109 	 3332.56 	 2
110 	 3342.32 	 2
111 	 3338.56 	 2
112 	 3340.26 	 2
113 	 3340.63 	 2
114 	 3337.12 	 2
115 	 3262.62 	 2
116 	 3331.12 	 2
117 	 3343.79 	 2
118 	 3388.46 	 2
119 	 3388.69 	 2
120 	 3340.35 	 2
121 	 3338.85 	 2
122 	 3342.64 	 2
123 	 3339.52 	 2
124 	 3339.91 	 2
125 	 3343.07 	 2
126 	 3341.35 	 2
127 	 3337.61 	 2
128 	 3337.1 	 2
129 	 3339.51 	 2
130 	 3342.63 	 2
131 	 3342.68 	 2
132 	 3343.98 	 2
133 	 3307.93 	 2
134 	 3306.34 	 2
135 	 3343.97 	 2
136 	 3340.57 	 2
137 	 3341.67 	 2
138 	 3344.1 	 2
139 	 3341.76 	 2
140 	 3343.21 	 2
141 	 3340.62 	 2
142 	 3389.28 	 2
143 	 3335.77 	 2
144 	 3342.44 	 2
145 	 3337.06 	 2
146 	 3387.35 	 2
147 	 3338.95 	 2
148 	 3332.62 	 2
149 	 3336.57 	 2
150 	 3342.69 	 2
151 	 3342.29 	 2
152 	 3341.39 	 2
153 	 3338.49 	 2
154 	 3337.73 	 2
155 	 3341.23 	 2
156 	 3337.28 	 2
157 	 3339.22 	 2
158 	 3319.52 	 2
159 	 3340.47 	 2
min 	 max 	 average 
2 		 2 		 2
