Number of available threads 24
Test name is Addition
Thread 	 Time 	 Iteration made 
0 	 1438 	 671346377
1 	 1438 	 238030288
2 	 1438 	 670686818
3 	 1438 	 239675283
4 	 1438 	 663385795
5 	 1438 	 241197522
6 	 1438 	 661179605
7 	 1438 	 238697057
8 	 1438 	 670128041
9 	 1438 	 231522512
10 	 1438 	 666395793
11 	 1438 	 241554270
12 	 1438 	 670189002
13 	 1438 	 239001176
14 	 1438 	 668711208
15 	 1438 	 242766828
16 	 1438 	 1138086853
17 	 1438 	 397383420
18 	 1438 	 411707764
19 	 1438 	 1216096459
20 	 1438 	 410682492
21 	 1438 	 1197234148
22 	 1437.8 	 1250349640
23 	 1438.01 	 415097140
min 	 max 	 average 
231522512 		 1250349640 		 570462728
Test name is Subtraction
Thread 	 Time 	 Iteration made 
0 	 1438.03 	 671068080
1 	 1438.03 	 238118525
2 	 1438.03 	 670653339
3 	 1438.03 	 239718372
4 	 1438.03 	 663417800
5 	 1438.03 	 241365128
6 	 1438.03 	 661012870
7 	 1438.03 	 238645391
8 	 1438.03 	 670456511
9 	 1438.03 	 231560714
10 	 1438.03 	 666688435
11 	 1438.03 	 241677003
12 	 1438.03 	 670133932
13 	 1438.03 	 239034530
14 	 1438.03 	 666899626
15 	 1438.03 	 242826251
16 	 1438.03 	 1140649313
17 	 1438.03 	 395527596
18 	 1438.03 	 409951812
19 	 1438.03 	 1216974264
20 	 1438.03 	 411322945
21 	 1438.03 	 1198368898
22 	 1437.4 	 1249761490
23 	 1438.03 	 415294626
min 	 max 	 average 
231560714 		 1249761490 		 570463643
Test name is Comparesing
Thread 	 Time 	 Iteration made 
0 	 1438.03 	 712978310
1 	 1438.03 	 274821141
2 	 1438.03 	 708427366
3 	 1438.03 	 278315065
4 	 1438.03 	 698333843
5 	 1438.03 	 280118093
6 	 1438.03 	 699700856
7 	 1438.03 	 277633485
8 	 1438.03 	 698904051
9 	 1438.03 	 261091577
10 	 1438.03 	 700551358
11 	 1438.03 	 276381652
12 	 1438.03 	 703380157
13 	 1438.03 	 277813927
14 	 1438.03 	 694512408
15 	 1438.03 	 282513336
16 	 1438.03 	 1193916996
17 	 1438.03 	 450356072
18 	 1438.03 	 473047766
19 	 1438.03 	 1274623690
20 	 1438.02 	 512966440
21 	 1438.02 	 1253766408
22 	 1437.41 	 520738895
23 	 1438.02 	 1278309030
min 	 max 	 average 
261091577 		 1278309030 		 615966746
Test name is Division
Thread 	 Time 	 Iteration made 
0 	 1438.04 	 244734026
1 	 1438.04 	 615327499
2 	 1438.04 	 240232927
3 	 1438.04 	 617129207
4 	 1438.04 	 243201467
5 	 1438.04 	 622817947
6 	 1438.04 	 240294996
7 	 1438.04 	 626229456
8 	 1438.04 	 222354975
9 	 1438.04 	 616999096
10 	 1438.04 	 211429213
11 	 1438.04 	 631228025
12 	 1438.04 	 224950929
13 	 1438.04 	 632032736
14 	 1438.04 	 220942948
15 	 1438.04 	 617549751
16 	 1438.04 	 373726055
17 	 1438.04 	 1030240279
18 	 1438.04 	 1103093971
19 	 1438.04 	 400641463
20 	 1438.04 	 1085272691
21 	 1438.04 	 400672981
22 	 1437.42 	 441984129
23 	 1438.05 	 1116854011
min 	 max 	 average 
211429213 		 1116854011 		 532497532
Test name is Modulus
Thread 	 Time 	 Iteration made 
0 	 1438.06 	 254789334
1 	 1438.06 	 463837495
2 	 1438.06 	 250297074
3 	 1438.06 	 461870918
4 	 1438.06 	 252255502
5 	 1438.06 	 464073349
6 	 1438.06 	 252265131
7 	 1438.06 	 450246722
8 	 1438.06 	 252868529
9 	 1438.06 	 486759087
10 	 1438.06 	 253061803
11 	 1438.06 	 457984537
12 	 1438.06 	 252870049
13 	 1438.06 	 474031445
14 	 1438.06 	 251026067
15 	 1438.06 	 483161984
16 	 1438.06 	 389143861
17 	 1438.06 	 858524528
18 	 1438.06 	 903113896
19 	 1438.06 	 414049236
20 	 1438.05 	 883551084
21 	 1438.06 	 421844477
22 	 1437.44 	 842234007
23 	 1438.06 	 372937503
min 	 max 	 average 
250297074 		 903113896 		 451949900
Test name is Exponenta
Thread 	 Time 	 Iteration made 
0 	 1438.02 	 120635096
1 	 1438.02 	 120248611
2 	 1438.02 	 121448045
3 	 1438.02 	 70525804
4 	 1438.02 	 70285427
5 	 1438.02 	 70828071
6 	 1438.02 	 119078056
7 	 1438.02 	 71588295
8 	 1438.02 	 115742795
9 	 1438.02 	 70285207
10 	 1438.02 	 116684975
11 	 1438.02 	 71440277
12 	 1438.02 	 116373540
13 	 1438.02 	 70832090
14 	 1438.02 	 116839545
15 	 1438.02 	 71392067
16 	 1438.02 	 241773170
17 	 1438.02 	 113523328
18 	 1438.02 	 114775678
19 	 1438.02 	 243323613
20 	 1438.02 	 117838741
21 	 1438.01 	 240753951
22 	 1437.48 	 252976917
23 	 1438.01 	 122789317
min 	 max 	 average 
70285207 		 252976917 		 123415942
Test name is SQRT
Thread 	 Time 	 Iteration made 
0 	 1438.02 	 203928099
1 	 1438.02 	 154573162
2 	 1438.03 	 205543444
3 	 1438.02 	 153145111
4 	 1438.02 	 201939473
5 	 1438.02 	 153479395
6 	 1438.02 	 204393922
7 	 1438.02 	 153581409
8 	 1438.02 	 193139118
9 	 1438.03 	 153976509
