Number of available threads 24
Test name is Subtraction
Thread 	 Time 	 Iteration made 
0 	 1437.96 	 1510268029
1 	 1437.96 	 540644963
2 	 1437.96 	 945949625
3 	 1437.96 	 400261700
4 	 1437.96 	 906897757
5 	 1437.96 	 410995643
6 	 1437.96 	 943590331
7 	 1437.96 	 390762430
8 	 1437.96 	 939896663
9 	 1437.96 	 390973561
10 	 1437.96 	 729864674
11 	 1437.96 	 260148577
12 	 1437.96 	 724375323
13 	 1437.96 	 270202400
14 	 1437.96 	 725668470
15 	 1437.96 	 274128130
16 	 1437.96 	 721245866
17 	 1437.96 	 272704609
18 	 1437.96 	 327009150
19 	 1437.96 	 800940682
20 	 1437.96 	 345344161
21 	 1437.96 	 774809458
22 	 1437.4 	 338310971
23 	 1437.96 	 765987624
min 	 max 	 average 
260148577 		 1510268029 		 612957533
