Number of available threads 24
Test name is Exponenta
Thread 	 Time 	 Iteration made 
0 	 1438.15 	 267711897
1 	 1438.15 	 158357572
2 	 1438.15 	 200795454
3 	 1438.15 	 97312663
4 	 1438.15 	 199967569
5 	 1438.15 	 95087566
6 	 1438.15 	 195360679
7 	 1438.15 	 93370245
8 	 1438.15 	 193948605
9 	 1438.15 	 93669159
10 	 1438.15 	 127269381
11 	 1438.15 	 86188199
12 	 1438.15 	 127460126
13 	 1438.15 	 81024680
14 	 1438.15 	 123983865
15 	 1438.15 	 80835099
16 	 1438.15 	 123984891
17 	 1438.15 	 81205952
18 	 1438.15 	 145264963
19 	 1438.15 	 88400909
20 	 1438.15 	 85612211
21 	 1438.15 	 145282447
22 	 1437.92 	 146484811
23 	 1438.15 	 87291710
min 	 max 	 average 
80835099 		 267711897 		 130244610
