Number of available threads 24
Test name is Pow
Thread 	 Time 	 Iteration made 
0 	 1437.87 	 76957160
1 	 1437.87 	 77327551
2 	 1437.87 	 34341494
3 	 1437.87 	 36103686
4 	 1437.87 	 50572588
5 	 1437.87 	 34260699
6 	 1437.87 	 49432128
7 	 1437.87 	 34322062
8 	 1437.87 	 49885236
9 	 1437.87 	 34283821
10 	 1437.87 	 32939976
11 	 1437.87 	 26538402
12 	 1437.87 	 32991634
13 	 1437.87 	 26534535
14 	 1437.87 	 32931066
15 	 1437.87 	 26625956
16 	 1437.87 	 32911626
17 	 1437.87 	 27059571
18 	 1437.87 	 33229136
19 	 1437.87 	 27138266
20 	 1437.87 	 27062427
21 	 1437.87 	 33211562
22 	 1437.82 	 33696472
23 	 1437.87 	 27020096
min 	 max 	 average 
26534535 		 77327551 		 37390714
