Number of available threads 24
Test name is Multiplication by 2
Thread 	 Time 	 Iteration made 
0 	 1438.05 	 1474261448
1 	 1438.06 	 542403025
2 	 1438.06 	 940296361
3 	 1438.05 	 401120526
4 	 1438.05 	 871086654
5 	 1438.05 	 423488382
6 	 1438.06 	 930363932
7 	 1438.05 	 425244659
8 	 1438.05 	 930158839
9 	 1438.06 	 420526761
10 	 1438.05 	 711101234
11 	 1438.05 	 267879010
12 	 1438.05 	 708130195
13 	 1438.06 	 277919645
14 	 1438.05 	 717657346
15 	 1438.06 	 275028234
16 	 1438.06 	 718831609
17 	 1438.06 	 278027209
18 	 1438.05 	 285222204
19 	 1438.05 	 790057460
20 	 1438.05 	 279271619
21 	 1438.05 	 787697923
22 	 1437.43 	 279519096
23 	 1438.05 	 795326021
min 	 max 	 average 
267879010 		 1474261448 		 605442474
