Number of available threads 24
Test name is Multiplication by 2 but shifting uses
Thread 	 Time 	 Iteration made 
0 	 1437.84 	 1486536836
1 	 1437.84 	 629524146
2 	 1437.84 	 943301081
3 	 1437.84 	 361967686
4 	 1437.84 	 989227207
5 	 1437.84 	 342776455
6 	 1437.84 	 965533488
7 	 1437.84 	 345169312
8 	 1437.84 	 927888537
9 	 1437.84 	 356928701
10 	 1437.84 	 760851820
11 	 1437.84 	 273995592
12 	 1437.84 	 755036167
13 	 1437.84 	 263049995
14 	 1437.84 	 741870980
15 	 1437.84 	 267776549
16 	 1437.84 	 742998594
17 	 1437.84 	 267341679
18 	 1437.84 	 305917373
19 	 1437.84 	 789840501
20 	 1437.84 	 291521907
21 	 1437.84 	 774067362
22 	 1437.53 	 288458094
23 	 1437.84 	 779697629
min 	 max 	 average 
263049995 		 1486536836 		 610469903
