Number of available threads 24
Test name is Not sorted Array
Thread 	 Time 	 Iteration made 
0 	 1638.25 	 3
1 	 1639.59 	 3
2 	 1639.95 	 3
3 	 1637.43 	 3
4 	 1637.59 	 3
5 	 1638.54 	 3
6 	 1638.74 	 3
7 	 1639.86 	 3
8 	 1637.08 	 3
9 	 1638.57 	 3
10 	 1639.87 	 3
11 	 1639.5 	 3
12 	 1639.89 	 3
13 	 1639.92 	 3
14 	 1639.92 	 3
15 	 1639.97 	 3
16 	 1635.81 	 3
17 	 1638.46 	 3
18 	 1638.1 	 3
19 	 1639.85 	 3
20 	 1638.81 	 3
21 	 1639.27 	 3
22 	 1635.98 	 3
23 	 1638.84 	 3
min 	 max 	 average 
3 		 3 		 3
