Number of available threads 24
Test name is Addition
Thread 	 Time 	 Iteration made 
0 	 59.68 	 729792737
1 	 59.77 	 733008879
2 	 59.85 	 732163895
3 	 59.85 	 731916115
4 	 59.86 	 736641288
5 	 59.86 	 736930461
6 	 59.93 	 737145180
7 	 59.93 	 736312328
8 	 59.92 	 738150300
9 	 59.92 	 739121027
10 	 59.91 	 736371085
11 	 59.91 	 736913157
12 	 59.91 	 736723481
13 	 59.9 	 737165893
14 	 59.9 	 738807415
15 	 59.89 	 737289086
16 	 59.89 	 736878644
17 	 59.89 	 737581853
18 	 59.88 	 737979240
19 	 59.88 	 734839844
20 	 59.87 	 736298856
21 	 59.87 	 735802635
22 	 59.87 	 738227717
23 	 59.93 	 737567432
min 	 max 	 average 
729792737 		 739121027 		 736234522
Test name is Subtraction
Thread 	 Time 	 Iteration made 
0 	 59.66 	 728734005
1 	 59.75 	 731222873
2 	 59.84 	 731540385
3 	 59.84 	 731284418
4 	 59.84 	 738495360
5 	 59.85 	 737596553
6 	 59.86 	 738092961
7 	 59.9 	 738612681
8 	 59.89 	 738453389
9 	 59.89 	 739169346
10 	 59.88 	 737075185
11 	 59.9 	 739985395
12 	 59.87 	 741032921
13 	 59.88 	 737862936
14 	 59.86 	 737409355
15 	 59.9 	 737581293
16 	 59.92 	 738113807
17 	 59.92 	 738407268
18 	 59.88 	 737371571
19 	 59.91 	 738231340
20 	 59.87 	 738163714
21 	 59.86 	 738705105
22 	 59.91 	 736304076
23 	 59.92 	 742917085
min 	 max 	 average 
728734005 		 742917085 		 737181792
Test name is Comparesing
Thread 	 Time 	 Iteration made 
0 	 59.65 	 771286826
1 	 59.75 	 772732733
2 	 59.83 	 772575132
3 	 59.84 	 773162651
4 	 59.84 	 781954897
5 	 59.84 	 782092905
6 	 59.85 	 783335906
7 	 59.89 	 782963915
8 	 59.88 	 783242160
9 	 59.88 	 783161043
10 	 59.88 	 782997297
11 	 59.89 	 783043145
12 	 59.86 	 782874014
13 	 59.87 	 783149990
14 	 59.85 	 782271506
15 	 59.9 	 782619721
16 	 59.91 	 781838210
17 	 59.91 	 782319798
18 	 59.87 	 782511321
19 	 59.9 	 781948662
20 	 59.86 	 783209834
21 	 59.86 	 783300086
22 	 59.9 	 782562031
23 	 59.92 	 783688360
min 	 max 	 average 
771286826 		 783688360 		 781035089
Test name is Division
Thread 	 Time 	 Iteration made 
0 	 59.66 	 688575832
1 	 59.76 	 689880582
2 	 59.84 	 690213068
3 	 59.85 	 690206803
4 	 59.85 	 686585060
5 	 59.86 	 685856530
6 	 59.86 	 686888397
7 	 59.9 	 686980667
8 	 59.9 	 686062164
9 	 59.89 	 686641629
10 	 59.89 	 686651216
11 	 59.9 	 685856293
12 	 59.87 	 686061221
13 	 59.88 	 687443167
14 	 59.86 	 686778433
15 	 59.91 	 685914677
16 	 59.92 	 686833342
17 	 59.92 	 686783578
18 	 59.88 	 686789357
19 	 59.92 	 686707181
20 	 59.88 	 686542592
21 	 59.87 	 686681252
22 	 59.91 	 686386981
23 	 59.94 	 688164692
min 	 max 	 average 
685856293 		 690213068 		 687145196
Test name is Modulus
Thread 	 Time 	 Iteration made 
0 	 59.66 	 503552345
1 	 59.75 	 503696691
2 	 59.84 	 504509404
3 	 59.84 	 504506511
4 	 59.85 	 505310310
5 	 59.85 	 505057097
6 	 59.86 	 504678382
7 	 59.89 	 504983677
8 	 59.89 	 505389676
9 	 59.89 	 504793986
10 	 59.88 	 505394831
11 	 59.9 	 505034930
12 	 59.87 	 505383628
13 	 59.88 	 505225409
14 	 59.85 	 505221534
15 	 59.9 	 505289258
16 	 59.92 	 505161933
17 	 59.91 	 505290666
18 	 59.87 	 505385694
19 	 59.91 	 505278527
20 	 59.87 	 504738401
21 	 59.86 	 505376122
22 	 59.91 	 504667533
23 	 59.93 	 506779574
min 	 max 	 average 
503552345 		 506779574 		 505029421
Test name is Exponenta
Thread 	 Time 	 Iteration made 
0 	 59.66 	 97095990
1 	 59.76 	 97369489
2 	 59.84 	 97417745
3 	 59.85 	 97379017
4 	 59.85 	 97455649
5 	 59.85 	 97459464
6 	 59.86 	 97486628
7 	 59.9 	 97497717
8 	 59.89 	 97434858
9 	 59.89 	 97553247
10 	 59.89 	 97464818
11 	 59.9 	 97403353
12 	 59.87 	 97534518
13 	 59.88 	 97389912
14 	 59.86 	 97532455
15 	 59.91 	 97470052
16 	 59.92 	 97488607
17 	 59.92 	 97509517
18 	 59.88 	 97515828
19 	 59.91 	 97507170
20 	 59.87 	 97512751
21 	 59.87 	 97407236
22 	 59.91 	 97519932
23 	 59.93 	 97329980
min 	 max 	 average 
97095990 		 97553247 		 97447330
Test name is SQRT
Thread 	 Time 	 Iteration made 
0 	 59.65 	 179713995
1 	 59.75 	 180129650
2 	 59.83 	 180180331
3 	 59.84 	 180345684
4 	 59.84 	 180250679
5 	 59.84 	 180335344
6 	 59.85 	 180498867
7 	 59.89 	 180486113
8 	 59.88 	 180314582
9 	 59.88 	 180535657
10 	 59.88 	 180564045
11 	 59.89 	 180586139
12 	 59.86 	 180558234
13 	 59.87 	 180570315
14 	 59.85 	 180510201
15 	 59.9 	 180487480
16 	 59.91 	 180422229
17 	 59.91 	 180460568
18 	 59.87 	 180572336
19 	 59.9 	 180306823
20 	 59.86 	 180573750
21 	 59.86 	 180570168
22 	 59.9 	 180381223
23 	 59.92 	 180788762
min 	 max 	 average 
179713995 		 180788762 		 180422632
Test name is Sinus
Thread 	 Time 	 Iteration made 
0 	 59.66 	 230767831
1 	 59.75 	 231358491
2 	 59.83 	 231342560
3 	 59.84 	 231462738
4 	 59.85 	 230437261
5 	 59.85 	 230684607
6 	 59.86 	 230597301
7 	 59.89 	 230603281
8 	 59.89 	 230675836
9 	 59.89 	 230640813
10 	 59.88 	 230653361
11 	 59.9 	 230572109
12 	 59.87 	 230371142
13 	 59.88 	 230630157
14 	 59.85 	 230516716
15 	 59.9 	 230596147
16 	 59.92 	 230702687
17 	 59.91 	 230389289
18 	 59.87 	 230634705
19 	 59.91 	 230714515
20 	 59.87 	 230431829
21 	 59.86 	 230343978
22 	 59.91 	 230415793
23 	 59.93 	 230817621
min 	 max 	 average 
230343978 		 231462738 		 230681698
Test name is Asin
Thread 	 Time 	 Iteration made 
0 	 59.67 	 121382710
1 	 59.76 	 121559080
2 	 59.84 	 121694375
3 	 59.84 	 121633538
4 	 59.85 	 121431470
5 	 59.86 	 121544823
6 	 59.86 	 121459822
7 	 59.9 	 121613266
8 	 59.9 	 121645702
9 	 59.89 	 121441298
