Number of available threads 160
Test name is Comparesing
Thread 	 Time 	 Iteration made 
0 	 9404.85 	 3178943143
1 	 9404.88 	 2051731095
2 	 9404.93 	 2555774487
3 	 9405.08 	 2922183098
4 	 9404.96 	 224354273
5 	 9405.05 	 113231706
6 	 9404.88 	 181262506
7 	 9404.98 	 168961909
8 	 9405.12 	 189920259
9 	 9405.13 	 133813638
10 	 9404.93 	 205378245
11 	 9405.07 	 215761653
12 	 9404.84 	 127241588
13 	 9404.95 	 139102468
14 	 9405.02 	 137875091
15 	 9404.9 	 1365452083
16 	 9405.05 	 129184879
17 	 9405.07 	 125641934
18 	 9405.11 	 123927920
19 	 9405.02 	 109936118
20 	 9405.06 	 370721016
21 	 9404.9 	 254835926
22 	 9405.11 	 251597183
23 	 9404.93 	 159396015
24 	 9404.91 	 211970544
25 	 9404.82 	 108154827
26 	 9404.82 	 155907052
27 	 9404.81 	 154785990
28 	 9404.81 	 150462194
29 	 9404.81 	 147501372
30 	 9404.81 	 113529863
31 	 9404.95 	 419882930
32 	 9404.79 	 697329298
33 	 9404.83 	 212557156
34 	 9404.93 	 183622124
35 	 9405.06 	 190164245
36 	 9405.03 	 1451563026
37 	 9405.04 	 425913763
38 	 9404.98 	 424084806
39 	 9404.82 	 150114322
40 	 9404.82 	 135048849
41 	 9404.82 	 163383822
42 	 9404.81 	 173759937
43 	 9404.81 	 166465685
44 	 9404.8 	 381720543
45 	 9404.81 	 283302988
46 	 9404.73 	 286057988
47 	 9404.83 	 1547701486
48 	 9404.96 	 1121398471
49 	 9404.72 	 416185479
50 	 9404.71 	 255490920
51 	 9404.87 	 1300864851
52 	 9404.84 	 149716216
53 	 9405.73 	 1151942070
54 	 9404.67 	 190201209
55 	 9404.27 	 1241666080
56 	 9403.23 	 270469092
57 	 9404.46 	 1053071087
58 	 9403.34 	 206134384
59 	 9403.45 	 1577524935
60 	 9404.04 	 1117257488
61 	 9403.76 	 1386369763
62 	 9403.61 	 695036499
63 	 9404.72 	 194010374
64 	 9404.76 	 208006236
65 	 9404.71 	 108844474
66 	 9404.7 	 102813905
67 	 9404.7 	 105674689
68 	 9404.67 	 211627783
69 	 9404.67 	 164661544
70 	 9404.73 	 937004095
71 	 9404.84 	 237496681
72 	 9403.39 	 1207226119
73 	 9403.29 	 1143435783
74 	 9404.59 	 904120037
75 	 9403.17 	 202141996
76 	 9402.51 	 261941479
77 	 9402.87 	 325282699
78 	 9402.39 	 263915829
79 	 9403.09 	 185315717
80 	 9402.88 	 987157652
81 	 9402.47 	 222324005
82 	 9404.42 	 838431590
83 	 9404.41 	 810130177
84 	 9404.54 	 139237317
85 	 9404.53 	 135781347
86 	 9404.39 	 113382440
87 	 9404.52 	 100388587
88 	 9404.51 	 101412741
89 	 9404.5 	 103131779
90 	 9404.51 	 109945951
91 	 9404.34 	 185930006
92 	 9404.33 	 101919309
93 	 9404.31 	 98943413
94 	 9404.44 	 55754461
95 	 9404.32 	 606608421
96 	 9404.49 	 118808172
97 	 9404.49 	 136524410
98 	 9404.5 	 125735486
99 	 9404.29 	 692413496
100 	 9404.28 	 214501580
101 	 9404.25 	 209967597
102 	 9404.26 	 211402982
103 	 9404.23 	 168014732
104 	 9404.22 	 293359929
105 	 9404.21 	 285019624
106 	 9404.37 	 193285255
107 	 9404.14 	 205891692
108 	 9404.14 	 309226762
109 	 9405.12 	 175496630
110 	 9404 	 158276899
111 	 9403.93 	 165483266
112 	 9403.92 	 160882187
113 	 9403.93 	 113695257
114 	 9403.97 	 112468386
115 	 9403.87 	 102584115
116 	 9403.83 	 395359508
117 	 9403.9 	 437608492
118 	 9403.73 	 218680251
119 	 9403.71 	 267998070
120 	 9403.68 	 338572871
121 	 9403.66 	 550432348
122 	 9403.64 	 516139799
123 	 9403.57 	 874124115
124 	 9403.61 	 678771205
125 	 9403.54 	 629613721
126 	 9403.7 	 582308103
127 	 9403.5 	 267481615
128 	 9403.59 	 499865568
129 	 9403.62 	 267607274
130 	 9403.39 	 325921828
131 	 9403.4 	 1865273381
132 	 9403.4 	 305281632
133 	 9403.33 	 285694739
134 	 9403.29 	 276987117
135 	 9403.2 	 212716040
136 	 9403.38 	 415159611
137 	 9403.32 	 386948799
138 	 9403.32 	 380235600
139 	 9403.12 	 1282939822
140 	 9403.17 	 231864697
141 	 9403.06 	 230334864
142 	 9403 	 231222468
143 	 9402.96 	 288413131
144 	 9403.02 	 897129942
145 	 9402.77 	 220867216
146 	 9402.73 	 226427305
147 	 9402.73 	 221310794
148 	 9402.65 	 378468292
149 	 9402.61 	 391778809
150 	 9402.8 	 102969061
151 	 9402.7 	 82483030
152 	 9402.52 	 144316580
153 	 9402.64 	 140979322
154 	 9402.71 	 283658034
155 	 9402.43 	 493134551
156 	 9402.66 	 141731519
157 	 9402.32 	 93132243
158 	 9402.29 	 88390379
159 	 9402.33 	 1211551233
min 	 max 	 average 
55754461 		 3178943143 		 436834147
