Number of available threads 160
Test name is Division
Thread 	 Time 	 Iteration made 
0 	 9219.69 	 656317534
1 	 9219.53 	 839206068
2 	 9219.63 	 513580064
3 	 9219.6 	 818235260
4 	 9219.74 	 533310786
5 	 9220.2 	 753706186
6 	 9219.58 	 302182335
7 	 9220.7 	 483070702
8 	 9220.63 	 492015101
9 	 9219.63 	 320267016
10 	 9219.53 	 376081137
11 	 9219.53 	 529851350
12 	 9219.56 	 458489499
13 	 9219.75 	 380094807
14 	 9219.59 	 429520021
15 	 9219.53 	 118054401
16 	 9219.53 	 127020873
17 	 9219.66 	 340539905
18 	 9219.54 	 652215268
19 	 9219.61 	 376393749
20 	 9219.73 	 389725769
21 	 9219.64 	 370785722
22 	 9219.71 	 391871500
23 	 9219.57 	 356294577
24 	 9219.54 	 915634702
25 	 9219.74 	 187766304
26 	 9219.73 	 175172284
27 	 9219.66 	 169928473
28 	 9219.65 	 235614114
29 	 9219.52 	 740001577
30 	 9219.67 	 288024988
31 	 9219.64 	 181599874
32 	 9219.5 	 1000187918
33 	 9219.5 	 809901493
34 	 9219.5 	 1565140180
35 	 9219.54 	 683680839
36 	 9219.51 	 127877522
37 	 9220.75 	 475276680
38 	 9219.53 	 122532321
39 	 9219.5 	 133690123
40 	 9219.49 	 125850824
41 	 9219.49 	 115248332
42 	 9219.5 	 821466432
43 	 9219.56 	 799959348
44 	 9219.44 	 153299180
45 	 9219.49 	 254058994
46 	 9219.51 	 211869843
47 	 9219.66 	 355525227
48 	 9219.47 	 127896357
49 	 9219.52 	 95847849
50 	 9219.52 	 182709601
51 	 9219.42 	 124488302
52 	 9219.44 	 68773005
53 	 9218.93 	 94169964
54 	 9218.75 	 88626019
55 	 9219.43 	 67036386
56 	 9219.39 	 165049330
57 	 9218.46 	 495299120
58 	 9218.81 	 83608807
59 	 9218.54 	 470591536
60 	 9218.01 	 85490063
61 	 9219.38 	 114504027
62 	 9218.64 	 86376109
63 	 9218.17 	 135632684
64 	 9219.32 	 306103930
65 	 9218.09 	 416216934
66 	 9218.73 	 69923898
67 	 9218.31 	 102645824
68 	 9218.06 	 124669158
69 	 9219.4 	 197396990
70 	 9217.87 	 254711968
71 	 9217.11 	 331492638
72 	 9217.64 	 230025949
73 	 9217.99 	 122987600
74 	 9218.34 	 153128511
75 	 9217.76 	 161177043
76 	 9217.01 	 159154397
77 	 9216.22 	 165625017
78 	 9219.26 	 108709954
79 	 9219.44 	 165032404
80 	 9218.46 	 78055779
81 	 9217.89 	 87695991
82 	 9219.18 	 79917781
83 	 9217.64 	 121076082
84 	 9217.08 	 864988255
85 	 9216.75 	 102438496
86 	 9217.16 	 179935966
87 	 9216.57 	 62937749
88 	 9216.67 	 98658171
89 	 9217.66 	 71429693
90 	 9217.98 	 63339030
91 	 9217.78 	 72451211
92 	 9218.22 	 463033490
93 	 9219.16 	 529857774
94 	 9219.3 	 88948517
95 	 9219.28 	 85663842
96 	 9219.2 	 73579415
97 	 9219.28 	 67966256
98 	 9219.22 	 66352186
99 	 9219.23 	 410208926
100 	 9219.06 	 193376474
101 	 9219.05 	 197114051
102 	 9219.12 	 385564235
103 	 9219.1 	 669605620
104 	 9219.15 	 141679263
105 	 9219.17 	 153446176
106 	 9219.16 	 203093781
107 	 9218.99 	 704208304
108 	 9219.1 	 823205252
109 	 9218.95 	 152124083
110 	 9218.92 	 248354601
111 	 9218.79 	 236456628
112 	 9218.78 	 200652052
113 	 9218.76 	 343765384
114 	 9218.74 	 326706090
115 	 9218.87 	 839650397
116 	 9218.89 	 317088635
117 	 9218.85 	 514214232
118 	 9218.79 	 409675446
119 	 9218.77 	 414722396
120 	 9218.66 	 223958102
121 	 9218.83 	 600935982
122 	 9218.63 	 247985572
123 	 9218.63 	 184927349
124 	 9218.68 	 797351824
125 	 9218.57 	 431894555
126 	 9218.56 	 214685978
127 	 9218.61 	 195896878
128 	 9218.6 	 197380233
129 	 9218.6 	 167648873
130 	 9218.63 	 136213519
131 	 9218.92 	 342572697
132 	 9218.57 	 483165255
133 	 9218.58 	 146805982
134 	 9218.44 	 132905372
135 	 9218.4 	 183500393
136 	 9218.38 	 174396935
137 	 9218.44 	 222233938
138 	 9218.42 	 219890017
139 	 9218.31 	 645232057
140 	 9218.38 	 220021944
141 	 9218.36 	 217436206
142 	 9218.24 	 117465523
143 	 9218.27 	 102454409
144 	 9218.26 	 93858018
145 	 9218.17 	 96916905
146 	 9218.36 	 506384291
147 	 9218.15 	 710984898
148 	 9218.3 	 348588929
149 	 9218.11 	 630615168
150 	 9218.33 	 193198840
151 	 9218.07 	 460121763
152 	 9218.19 	 142727738
153 	 9217.99 	 772366648
154 	 9217.94 	 672914679
155 	 9217.99 	 668988230
156 	 9217.85 	 288053184
157 	 9217.8 	 294466934
158 	 9217.88 	 382104484
159 	 9217.87 	 524096849
min 	 max 	 average 
62937749 		 1565140180 		 323436396
