Number of available threads 160
Test name is Exponenta
Thread 	 Time 	 Iteration made 
0 	 9461.24 	 225741361
1 	 9461.43 	 107709587
2 	 9461.33 	 118847754
3 	 9461.24 	 121876483
4 	 9461.25 	 122338515
5 	 9461.38 	 50008092
6 	 9461.29 	 53994557
7 	 9461.3 	 68321237
8 	 9461.43 	 118773309
9 	 9461.41 	 71791989
10 	 9461.39 	 80638383
11 	 9461.45 	 103016356
12 	 9461.25 	 108615721
13 	 9461.28 	 116769272
14 	 9461.27 	 90563117
15 	 9461.36 	 59901531
16 	 9461.42 	 74298770
17 	 9461.37 	 104575381
18 	 9461.24 	 94724095
19 	 9461.23 	 200129440
20 	 9461.42 	 55104266
21 	 9461.24 	 189920157
22 	 9461.27 	 69254909
23 	 9461.41 	 53538661
24 	 9461.23 	 97149920
25 	 9461.45 	 106873761
26 	 9461.36 	 62938243
27 	 9461.41 	 63109947
28 	 9461.42 	 98479345
29 	 9461.22 	 116497292
30 	 9461.25 	 123771048
31 	 9461.27 	 102226005
32 	 9461.24 	 109120857
33 	 9461.31 	 75292396
34 	 9461.24 	 77036089
35 	 9461.2 	 221568969
36 	 9461.19 	 42835150
37 	 9461.32 	 107558404
38 	 9461.18 	 43029619
39 	 9461.18 	 42431772
40 	 9461.18 	 41649779
41 	 9461.17 	 41315904
42 	 9461.17 	 41755246
43 	 9461.17 	 41674029
44 	 9461.16 	 37997410
45 	 9461.16 	 11016918
46 	 9461.19 	 6758364
47 	 9461.32 	 28659816
48 	 9461.16 	 10991382
49 	 9461.16 	 11008637
50 	 9461.2 	 216077405
51 	 9461.15 	 11570749
52 	 9461.85 	 60032349
53 	 9461.12 	 138106994
54 	 9461.11 	 26695453
55 	 9461.23 	 21273439
56 	 9461.21 	 21128388
57 	 9461.22 	 21348113
58 	 9461.28 	 21148355
59 	 9461.17 	 21490695
60 	 9459.53 	 21765585
61 	 9460.31 	 64982515
62 	 9459.4 	 40943172
63 	 9460.14 	 26424638
64 	 9459.36 	 28884279
65 	 9461.19 	 55301561
66 	 9460.46 	 62384349
67 	 9460.03 	 37324890
68 	 9459.34 	 184448386
69 	 9461.03 	 28762681
70 	 9461.1 	 19209663
71 	 9461.2 	 17018748
72 	 9460.98 	 8538242
73 	 9460.97 	 9060586
74 	 9460.97 	 8763904
75 	 9460.96 	 8530264
76 	 9460.99 	 20703510
77 	 9461.03 	 31674133
78 	 9460.22 	 101107576
79 	 9459.26 	 19469277
80 	 9459.13 	 19289927
81 	 9460.92 	 40977683
82 	 9460.97 	 101464262
83 	 9460.94 	 96174692
84 	 9460.85 	 10862486
85 	 9460.84 	 14817138
86 	 9461.05 	 17165830
87 	 9460.11 	 170479237
88 	 9458.93 	 13861202
89 	 9459.02 	 13979413
90 	 9459.11 	 13765648
91 	 9459.31 	 35608411
92 	 9460.12 	 129718801
93 	 9460.44 	 233160082
94 	 9460.84 	 96067067
95 	 9460.83 	 97436283
96 	 9460.84 	 62916096
97 	 9460.82 	 62344892
98 	 9460.83 	 61713478
99 	 9460.92 	 121859913
100 	 9460.92 	 52493703
101 	 9460.91 	 51601200
102 	 9460.92 	 51820642
103 	 9460.88 	 131891452
104 	 9460.68 	 129208883
105 	 9460.81 	 129173398
106 	 9460.86 	 51980473
107 	 9460.83 	 49731417
108 	 9460.82 	 129450807
109 	 9460.61 	 193587867
110 	 9460.52 	 67979752
111 	 9460.38 	 263619796
112 	 9460.41 	 69521594
113 	 9460.4 	 67415315
114 	 9460.39 	 67197098
115 	 9460.37 	 71980564
116 	 9460.51 	 69479672
117 	 9460.51 	 69334844
118 	 9460.41 	 72083621
119 	 9460.25 	 116717324
120 	 9460.37 	 69338925
121 	 9460.38 	 75349104
122 	 9460.21 	 117777640
123 	 9460.21 	 115521201
124 	 9460.19 	 37477675
125 	 9460.21 	 148943625
126 	 9460.16 	 18169181
127 	 9460.28 	 17849672
128 	 9460.17 	 148208201
129 	 9460.19 	 9606361
130 	 9460.16 	 9566959
131 	 9460.11 	 9464344
132 	 9460.03 	 24568503
133 	 9460.02 	 22931235
134 	 9459.99 	 22398533
135 	 9459.96 	 22374619
136 	 9459.94 	 26768927
137 	 9459.95 	 25938530
138 	 9459.92 	 25354688
139 	 9459.98 	 25549738
140 	 9459.98 	 32352085
141 	 9459.94 	 30567156
142 	 9459.93 	 30443773
143 	 9459.91 	 30492389
144 	 9459.82 	 35174305
145 	 9459.8 	 36304580
146 	 9459.75 	 33829042
147 	 9459.88 	 44472973
148 	 9459.86 	 15323216
149 	 9459.68 	 9108629
150 	 9459.7 	 9035709
151 	 9459.7 	 8722680
152 	 9459.6 	 19282401
153 	 9459.55 	 175581616
154 	 9459.6 	 10613447
155 	 9459.53 	 35426618
156 	 9459.49 	 24265791
157 	 9459.55 	 24481033
158 	 9459.56 	 24219661
159 	 9459.4 	 187427446
min 	 max 	 average 
6758364 		 263619796 		 66797395
