Number of available threads 160
Test name is Asin
Thread 	 Time 	 Iteration made 
0 	 9355.68 	 429253634
1 	 9355.7 	 311418825
2 	 9355.88 	 575552338
3 	 9355.77 	 191688358
4 	 9355.85 	 123345602
5 	 9355.72 	 92358869
6 	 9355.81 	 73818647
7 	 9355.71 	 120192838
8 	 9355.89 	 132736124
9 	 9355.68 	 164758460
10 	 9355.75 	 100416621
11 	 9355.88 	 120853176
12 	 9355.7 	 150941525
13 	 9355.78 	 65055978
14 	 9355.92 	 73511761
15 	 9355.9 	 70779459
16 	 9356.02 	 46690179
17 	 9355.87 	 96317757
18 	 9355.67 	 319027056
19 	 9355.8 	 46567674
20 	 9355.7 	 79969046
21 	 9355.89 	 108626522
22 	 9355.76 	 82832905
23 	 9355.67 	 262433829
24 	 9355.91 	 103736047
25 	 9355.68 	 116536615
26 	 9355.72 	 69870067
27 	 9355.69 	 97983273
28 	 9355.78 	 80185264
29 	 9355.85 	 107716709
30 	 9355.67 	 53367444
31 	 9355.75 	 52533634
32 	 9355.64 	 117743278
33 	 9355.79 	 111351287
34 	 9355.78 	 53630825
35 	 9355.86 	 68181099
36 	 9355.62 	 12986347
37 	 9356.69 	 22235720
38 	 9355.66 	 25905251
39 	 9355.61 	 12162313
40 	 9355.61 	 13149136
41 	 9355.61 	 13038174
42 	 9355.59 	 13902464
43 	 9355.59 	 225123763
44 	 9355.59 	 42373947
45 	 9355.59 	 60133332
46 	 9355.58 	 66141303
47 	 9355.58 	 55566724
48 	 9355.59 	 35671885
49 	 9355.57 	 55821752
50 	 9354.38 	 100962980
51 	 9355.55 	 57547752
52 	 9355.54 	 32397572
53 	 9354.69 	 29093047
54 	 9354.21 	 17176081
55 	 9354.27 	 18658173
56 	 9355.68 	 115078799
57 	 9355.59 	 17854405
58 	 9354.84 	 30320773
59 	 9355.09 	 118687657
60 	 9354.57 	 100597203
61 	 9354.71 	 97330672
62 	 9353.84 	 38798913
63 	 9353.87 	 101764234
64 	 9352.9 	 21653523
65 	 9355.69 	 38130501
66 	 9355.57 	 19055109
67 	 9355.55 	 20267400
68 	 9355.55 	 19015411
69 	 9355.53 	 19704597
70 	 9355.51 	 19022293
71 	 9355.51 	 17391414
72 	 9355.49 	 51968016
73 	 9354.71 	 62122388
74 	 9353.88 	 28145364
75 	 9353.83 	 81843620
76 	 9355.42 	 32630763
77 	 9355.45 	 15534108
78 	 9355.54 	 34026086
79 	 9355.36 	 143749144
80 	 9355.36 	 142744002
81 	 9355.4 	 15052242
82 	 9355.39 	 13958416
83 	 9355.39 	 12005001
84 	 9354.72 	 54727638
85 	 9353.86 	 39113863
86 	 9353.83 	 120382474
87 	 9353.73 	 38537925
88 	 9354.24 	 73194784
89 	 9354.28 	 38525843
90 	 9354.37 	 67546007
91 	 9353.76 	 34402930
92 	 9353.47 	 21141504
93 	 9353.47 	 27428559
94 	 9353.49 	 13023292
95 	 9355.38 	 9318213
96 	 9355.4 	 13380587
97 	 9355.38 	 9537697
98 	 9355.29 	 9250859
99 	 9355.18 	 309613956
100 	 9355.21 	 65293961
101 	 9355.38 	 57365301
102 	 9355.26 	 43690003
103 	 9355.2 	 44025176
104 	 9355.18 	 142991383
105 	 9355.27 	 93994886
106 	 9355.27 	 96211383
107 	 9355.15 	 142826586
108 	 9355.1 	 157588674
109 	 9355.17 	 69654796
110 	 9355.2 	 83486781
111 	 9354.94 	 66083795
112 	 9355.01 	 55665538
113 	 9354.97 	 53981067
114 	 9354.93 	 134234090
115 	 9354.92 	 165270923
116 	 9354.93 	 83641580
117 	 9354.83 	 121005019
118 	 9354.84 	 66293185
119 	 9354.87 	 59531703
120 	 9354.76 	 65353937
121 	 9354.85 	 134863517
122 	 9354.78 	 72283850
123 	 9354.86 	 136564104
124 	 9355.43 	 134349740
125 	 9354.65 	 45633094
126 	 9354.63 	 46118934
127 	 9354.84 	 85205617
128 	 9354.61 	 49553290
129 	 9354.61 	 50265215
130 	 9354.53 	 46621090
131 	 9354.52 	 47624337
132 	 9354.52 	 124501633
133 	 9355.69 	 103567876
134 	 9354.61 	 116189556
135 	 9354.44 	 27326045
136 	 9354.53 	 28635356
137 	 9354.4 	 79675089
138 	 9354.37 	 28909245
139 	 9354.42 	 76809356
140 	 9354.45 	 28425634
141 	 9354.46 	 28423428
142 	 9354.48 	 25457717
143 	 9354.43 	 25594033
144 	 9354.44 	 59518546
145 	 9354.42 	 60499604
146 	 9354.35 	 45770425
147 	 9354.31 	 129541911
148 	 9354.31 	 12222657
149 	 9354.2 	 12469075
150 	 9354.23 	 12894762
151 	 9354.23 	 13321674
152 	 9354.18 	 13425698
153 	 9353.96 	 34835970
154 	 9353.94 	 31905122
155 	 9353.86 	 26076472
156 	 9353.87 	 5091541
157 	 9353.79 	 6530747
158 	 9353.87 	 5043297
159 	 9353.67 	 160340051
min 	 max 	 average 
5043297 		 575552338 		 75811773
