Number of available threads 160
Test name is Pow
Thread 	 Time 	 Iteration made 
0 	 9372.11 	 61484873
1 	 9372.07 	 30431289
2 	 9372.05 	 37015434
3 	 9373.26 	 25884340
4 	 9372.11 	 29110825
5 	 9372.06 	 25939869
6 	 9372.12 	 28128475
7 	 9372.12 	 28519340
8 	 9372.2 	 26943863
9 	 9372.19 	 24096744
10 	 9372.23 	 23837583
11 	 9371.99 	 38295518
12 	 9372.19 	 6808272
13 	 9372.09 	 9607070
14 	 9372.21 	 10034401
15 	 9372.23 	 11128581
16 	 9372.19 	 8113223
17 	 9372.14 	 13555872
18 	 9372.15 	 6831909
19 	 9372.13 	 9622297
20 	 9372.03 	 13205624
21 	 9372.17 	 5012328
22 	 9371.97 	 83687842
23 	 9371.97 	 6723427
24 	 9372.13 	 6826355
25 	 9372.14 	 3638290
26 	 9372.1 	 6987106
27 	 9372.12 	 6425257
28 	 9371.95 	 29024461
29 	 9371.97 	 32621474
30 	 9372 	 86127222
31 	 9372.01 	 49517018
32 	 9371.94 	 49673750
33 	 9371.97 	 15474236
34 	 9372.13 	 15431865
35 	 9371.95 	 15617078
36 	 9371.96 	 15998255
37 	 9372.08 	 28697755
38 	 9371.96 	 15989975
39 	 9372.12 	 27996700
40 	 9372.11 	 15931155
41 	 9371.9 	 45075706
42 	 9371.89 	 30115251
43 	 9373.26 	 25683362
44 	 9372.05 	 53152653
45 	 9371.99 	 22217991
46 	 9371.9 	 32217675
47 	 9371.88 	 40592281
48 	 9372.04 	 55441909
49 	 9371.95 	 23778997
50 	 9371.84 	 27893292
51 	 9371.61 	 26934549
52 	 9371.77 	 36447845
53 	 9371.2 	 25181273
54 	 9371.19 	 25653413
55 	 9370.77 	 25675658
56 	 9371.17 	 31341973
57 	 9371.19 	 25451196
58 	 9370.2 	 39273626
59 	 9371.14 	 32335008
60 	 9370.26 	 31465480
61 	 9370.19 	 41046798
62 	 9369.3 	 36822134
63 	 9370.21 	 70110708
64 	 9371.75 	 27965339
65 	 9371.78 	 28510778
66 	 9371.83 	 38293841
67 	 9371.77 	 13880781
68 	 9370.17 	 26813343
69 	 9370.22 	 52629607
70 	 9369.73 	 26818077
71 	 9371.8 	 48570168
72 	 9371.69 	 29008540
73 	 9369.74 	 28914861
74 	 9371.72 	 29768829
75 	 9369.53 	 40152980
76 	 9369.55 	 10265989
77 	 9368.99 	 11544365
78 	 9368.23 	 20347612
79 	 9371.67 	 11891167
80 	 9370.86 	 18771268
81 	 9370.22 	 10205872
82 	 9370.23 	 10870930
83 	 9370.09 	 11968499
84 	 9371.45 	 3755372
85 	 9371.58 	 46491835
86 	 9371.57 	 48950090
87 	 9371.59 	 4570510
88 	 9371.59 	 4561567
89 	 9371.75 	 4868158
90 	 9371.58 	 4608716
91 	 9371.54 	 7249195
92 	 9371.52 	 14981968
93 	 9371.53 	 13147145
94 	 9371.6 	 22655987
95 	 9371.6 	 16106622
96 	 9371.58 	 16192030
97 	 9371.49 	 15011199
98 	 9371.47 	 15243269
99 	 9371.47 	 13217976
100 	 9371.43 	 36163315
101 	 9371.43 	 36864450
102 	 9371.43 	 17358345
103 	 9371.49 	 5234519
104 	 9371.47 	 5248460
105 	 9371.47 	 5363571
106 	 9371.43 	 5355396
107 	 9371.41 	 5374813
108 	 9371.41 	 70753404
109 	 9371.45 	 32533499
110 	 9371.25 	 35134523
111 	 9371.18 	 63940049
112 	 9371.25 	 61948688
113 	 9371.22 	 32563390
114 	 9371.21 	 32386229
115 	 9371.1 	 34816021
116 	 9371.09 	 57270809
117 	 9371.03 	 41174980
118 	 9371 	 33287359
119 	 9370.99 	 33104673
120 	 9370.96 	 33292500
121 	 9371.07 	 52953885
122 	 9370.97 	 52860823
123 	 9370.97 	 52498745
124 	 9371.03 	 27046646
125 	 9371.02 	 27081519
126 	 9371.05 	 33023982
127 	 9370.96 	 27095088
128 	 9370.92 	 16706738
129 	 9370.89 	 16530102
130 	 9370.79 	 38061946
131 	 9370.82 	 32066796
132 	 9370.74 	 43246909
133 	 9370.76 	 85015310
134 	 9370.8 	 35979676
135 	 9370.66 	 36886782
136 	 9370.8 	 34096099
137 	 9370.81 	 27606544
138 	 9370.62 	 22558476
139 	 9370.7 	 26342971
140 	 9370.45 	 4662777
141 	 9370.61 	 4433079
142 	 9370.59 	 4864301
143 	 9370.4 	 4396617
144 	 9370.51 	 4849616
145 	 9370.39 	 4346914
146 	 9370.22 	 54192498
147 	 9370.3 	 7916187
148 	 9370.31 	 9898505
149 	 9370.31 	 10893147
150 	 9370.02 	 5322100
151 	 9370.02 	 4737923
152 	 9369.94 	 9221509
153 	 9370.86 	 18637805
154 	 9368.59 	 40609315
155 	 9368.65 	 39404457
156 	 9369.9 	 9321642
157 	 9369.83 	 36679658
158 	 9369.82 	 32866630
159 	 9369.73 	 99576204
min 	 max 	 average 
3638290 		 99576204 		 26952307
