Number of available threads 160
Test name is Multiplication by 2
Thread 	 Time 	 Iteration made 
0 	 9422.47 	 1881602594
1 	 9422.23 	 962769292
2 	 9422.35 	 965571300
3 	 9422.45 	 847793761
4 	 9422.44 	 724457874
5 	 9422.47 	 498652130
6 	 9422.36 	 804030860
7 	 9422.42 	 1063353655
8 	 9422.26 	 777203877
9 	 9422.31 	 791649695
10 	 9422.39 	 756625731
11 	 9422.39 	 722663698
12 	 9422.24 	 115743567
13 	 9422.37 	 65006254
14 	 9422.28 	 1372133148
15 	 9422.24 	 105754214
16 	 9422.4 	 106966527
17 	 9422.46 	 186253549
18 	 9422.41 	 97977729
19 	 9422.2 	 61144219
20 	 9422.26 	 185167059
21 	 9422.21 	 271168235
22 	 9422.2 	 225732730
23 	 9422.26 	 84610019
24 	 9422.23 	 80199940
25 	 9422.26 	 76252714
26 	 9422.22 	 343491357
27 	 9422.34 	 320959359
28 	 9422.2 	 167797883
29 	 9422.38 	 148580881
30 	 9422.23 	 104374507
31 	 9422.17 	 71334877
32 	 9422.25 	 707145671
33 	 9422.24 	 696739672
34 	 9422.42 	 113686998
35 	 9422.38 	 172190152
36 	 9422.41 	 199982513
37 	 9422.4 	 232640179
38 	 9422.14 	 70665375
39 	 9422.12 	 84012170
40 	 9422.12 	 78569943
41 	 9422.16 	 64572614
42 	 9422.19 	 331738954
43 	 9422.28 	 260998062
44 	 9422.1 	 124342191
45 	 9422.23 	 60135157
46 	 9422.15 	 675673180
47 	 9422.22 	 125316144
48 	 9422.19 	 36990709
49 	 9422.24 	 64780832
50 	 9422.14 	 263947340
51 	 9422.12 	 691230096
52 	 9420.58 	 110151849
53 	 9421.99 	 80511715
54 	 9420.7 	 169161500
55 	 9421.1 	 364451038
56 	 9421.34 	 92630889
57 	 9421.28 	 100417058
58 	 9421.11 	 167404214
59 	 9420.42 	 184725424
60 	 9421.38 	 92148189
61 	 9420.63 	 85664734
62 	 9420.51 	 771998070
63 	 9420.52 	 125286765
64 	 9420.48 	 134222536
65 	 9418.82 	 103024613
66 	 9419.22 	 74882080
67 	 9421.19 	 86670089
68 	 9420.63 	 135945982
69 	 9421.53 	 122401608
70 	 9422.37 	 150223591
71 	 9420.99 	 372257693
72 	 9420.98 	 317325318
73 	 9420.96 	 287343501
74 	 9422.03 	 130033141
75 	 9422.15 	 128297704
76 	 9422.02 	 95535568
77 	 9422.02 	 94874906
78 	 9422.01 	 88050869
79 	 9422.04 	 444607152
80 	 9421.84 	 154964388
81 	 9421.36 	 75634531
82 	 9421.86 	 152879668
83 	 9421.84 	 154042625
84 	 9421.84 	 211053040
85 	 9421.81 	 184472402
86 	 9421.76 	 147742037
87 	 9421.94 	 147860656
88 	 9421.77 	 142945859
89 	 9421.76 	 123046792
90 	 9421.86 	 298699880
91 	 9421.84 	 296510424
92 	 9421.83 	 375362488
93 	 9421.7 	 542938764
94 	 9421.69 	 541892465
95 	 9421.81 	 551545199
96 	 9421.79 	 563239245
97 	 9421.71 	 297018410
98 	 9421.76 	 272644092
99 	 9421.67 	 245676808
100 	 9421.66 	 270329936
101 	 9421.73 	 245524181
102 	 9421.6 	 681117329
103 	 9421.58 	 618409849
104 	 9421.55 	 388910423
105 	 9421.54 	 391380412
106 	 9421.58 	 331199560
107 	 9421.51 	 931988363
108 	 9421.72 	 310126236
109 	 9421.7 	 338744802
110 	 9421.63 	 131288828
111 	 9421.52 	 146627431
112 	 9421.52 	 134382949
113 	 9421.26 	 115272876
114 	 9421.35 	 206374874
115 	 9421.24 	 958532162
116 	 9421.23 	 436081439
117 	 9421.37 	 390235575
118 	 9421.16 	 919204366
119 	 9421.32 	 375762843
120 	 9421.24 	 445649191
121 	 9421.32 	 449102487
122 	 9421.26 	 287546184
123 	 9421.24 	 351498287
124 	 9421.01 	 192012707
125 	 9421.01 	 204900897
126 	 9420.99 	 196824280
127 	 9421.14 	 252334077
128 	 9420.94 	 862014669
129 	 9421.11 	 328656243
130 	 9420.95 	 578558836
131 	 9420.93 	 877570611
132 	 9420.87 	 155423976
133 	 9420.86 	 709515505
134 	 9420.84 	 907644245
135 	 9420.77 	 133648400
136 	 9420.86 	 1529429688
137 	 9420.61 	 891981691
138 	 9420.56 	 977734836
139 	 9420.55 	 353030357
140 	 9420.54 	 572690211
141 	 9420.34 	 461158631
142 	 9420.53 	 1551451929
143 	 9420.41 	 867532262
144 	 9420.3 	 487343645
145 	 9420.19 	 187662542
146 	 9420.13 	 440560626
147 	 9420.09 	 852987264
148 	 9420 	 374109221
149 	 9420.64 	 403224961
150 	 9419.94 	 474201941
151 	 9420.82 	 256934000
152 	 9419.85 	 597558452
153 	 9419.85 	 692804092
154 	 9419.73 	 250008688
155 	 9419.69 	 260664784
156 	 9419.66 	 910345431
157 	 9419.57 	 272684415
158 	 9419.52 	 254662146
159 	 9419.6 	 942695657
min 	 max 	 average 
36990709 		 1881602594 		 379691570
