Number of available threads 160
Test name is Sudden drops
Thread 	 Time 	 Iteration made 
0 	 2560.78 	 215127433
1 	 2561.6 	 199999998
2 	 2561.6 	 199999998
3 	 2561.6 	 199999998
4 	 2561.6 	 99999998
5 	 2561.6 	 99999998
6 	 2560.95 	 85505075
7 	 2561.6 	 99999998
8 	 2561.6 	 99999998
9 	 2561.6 	 99999998
10 	 2560.87 	 85930426
11 	 2560.79 	 100920912
12 	 2560.82 	 143649370
13 	 2561.6 	 149999998
14 	 2561.6 	 99999998
15 	 2560.91 	 84983331
16 	 2560.79 	 88662345
17 	 2561.59 	 99999998
18 	 2561.59 	 99999998
19 	 2561.59 	 99999998
20 	 2560.85 	 105170988
21 	 2560.91 	 58292280
22 	 2560.78 	 64028106
23 	 2560.9 	 68681041
24 	 2560.81 	 104181537
25 	 2560.91 	 85435348
26 	 2560.87 	 68444905
27 	 2561.57 	 99999998
28 	 2560.77 	 89849222
29 	 2560.78 	 61625251
30 	 2560.84 	 62252009
31 	 2560.75 	 91861577
32 	 2560.86 	 111316848
33 	 2560.78 	 54053187
34 	 2560.8 	 53957647
35 	 2560.86 	 54740826
36 	 2560.83 	 25379994
37 	 2560.83 	 25497369
38 	 2560.85 	 62938881
39 	 2560.82 	 25686755
40 	 2560.72 	 22485892
41 	 2560.71 	 26273690
42 	 2560.71 	 25307589
43 	 2560.71 	 25180042
44 	 2560.69 	 50864964
45 	 2560.73 	 26538337
46 	 2560.74 	 25221529
47 	 2560.68 	 125962051
48 	 2560.83 	 34409456
49 	 2560.81 	 35439718
50 	 2560.74 	 54149643
51 	 2560.64 	 54045362
52 	 2560.7 	 31410660
53 	 2560.71 	 57798524
54 	 2560.68 	 98987892
55 	 2560.71 	 51098257
56 	 2560.64 	 34726135
57 	 2560.75 	 35011184
58 	 2560.75 	 34173215
59 	 2560.7 	 94179329
60 	 2561.4 	 99999998
61 	 2559.94 	 103888783
62 	 2559.94 	 99999998
63 	 2560.64 	 38485839
64 	 2560.57 	 38679142
65 	 2561.36 	 99999998
66 	 2561.35 	 49999998
67 	 2561.35 	 49999998
68 	 2561.34 	 49999998
69 	 2560.03 	 42377733
70 	 2560.3 	 49999998
71 	 2557.78 	 62280838
72 	 2559.16 	 35772940
73 	 2559.29 	 39318129
74 	 2559.51 	 42643528
75 	 2558.75 	 62486730
76 	 2558.74 	 33873558
77 	 2559.11 	 36768647
78 	 2558.28 	 51710978
79 	 2560.36 	 49999998
80 	 2557.95 	 59671765
81 	 2559.78 	 49999998
82 	 2558.94 	 49999998
83 	 2558.97 	 57744410
84 	 2558.94 	 49999998
85 	 2561.19 	 49999998
86 	 2561.18 	 49999998
87 	 2560.4 	 20529779
88 	 2560.38 	 21158175
89 	 2560.33 	 21397451
90 	 2561.14 	 49999998
91 	 2561.13 	 49999998
92 	 2561.12 	 49999998
93 	 2560.31 	 26020079
94 	 2560.29 	 26793628
95 	 2560.27 	 27831341
96 	 2560.31 	 34570060
97 	 2560.42 	 33455093
98 	 2560.31 	 58055029
99 	 2560.4 	 36035721
100 	 2561.04 	 49999998
101 	 2561.01 	 49999998
102 	 2560.19 	 59261993
103 	 2560.36 	 62396664
104 	 2560.35 	 65848885
105 	 2560.99 	 49999998
106 	 2560.96 	 49999998
107 	 2560.22 	 107698799
108 	 2560.29 	 98556741
109 	 2560.91 	 99999998
110 	 2560.81 	 99999998
111 	 2560.03 	 104695870
112 	 2560.69 	 149999998
113 	 2559.96 	 97101569
114 	 2559.88 	 112943876
115 	 2560.62 	 149999998
116 	 2560.61 	 99999998
117 	 2559.77 	 71714226
118 	 2559.77 	 58630337
119 	 2560.54 	 99999998
120 	 2560.53 	 99999998
121 	 2559.7 	 111211880
122 	 2559.85 	 64900125
123 	 2559.75 	 63301429
124 	 2559.67 	 87846907
125 	 2559.7 	 104949927
126 	 2560.41 	 149999998
127 	 2559.66 	 74862579
128 	 2559.64 	 58189614
129 	 2559.68 	 74450438
130 	 2559.52 	 75937250
131 	 2559.61 	 103259518
132 	 2559.5 	 41524968
133 	 2559.45 	 40509323
134 	 2559.42 	 38891005
135 	 2559.41 	 39064908
136 	 2560.17 	 99999998
137 	 2560.15 	 99999998
138 	 2559.48 	 79602880
139 	 2560.1 	 99999998
140 	 2559.27 	 70438606
141 	 2559.25 	 75673354
142 	 2559.26 	 89691004
143 	 2559.34 	 69153327
144 	 2559.35 	 97688877
145 	 2559.22 	 120681157
146 	 2559.19 	 63623332
147 	 2559.06 	 62891213
148 	 2559.18 	 105603083
149 	 2559.01 	 67831494
150 	 2559.08 	 74980143
151 	 2559.12 	 39440362
152 	 2559.12 	 38594065
153 	 2559.08 	 33281728
154 	 2559.05 	 34101357
155 	 2559.67 	 99999998
156 	 2558.85 	 109181541
157 	 2558.78 	 60049506
158 	 2558.84 	 60294505
159 	 2558.73 	 121782887
min 	 max 	 average 
20529779 		 215127433 		 72345741
