Number of available threads 160
Test name is Not sorted Array
Thread 	 Time 	 Iteration made 
0 	 4458.13 	 1
1 	 4500.23 	 1
2 	 4467.76 	 1
3 	 4511.48 	 1
4 	 4498.54 	 1
5 	 4501.24 	 1
6 	 4501.04 	 1
7 	 4499.42 	 1
8 	 4539.22 	 1
9 	 4535.55 	 1
10 	 4487.45 	 1
11 	 4444.71 	 1
12 	 4490.94 	 1
13 	 4491.15 	 1
14 	 4472.92 	 1
15 	 4499.31 	 1
16 	 4480.72 	 1
17 	 4488.48 	 1
18 	 4504.47 	 1
19 	 4466.21 	 1
20 	 4497.92 	 1
21 	 4567.59 	 1
22 	 4585.74 	 1
23 	 4489.7 	 1
24 	 4498.97 	 1
25 	 4497.4 	 1
26 	 4497.9 	 1
27 	 4620.77 	 1
28 	 4498.37 	 1
29 	 4487.49 	 1
30 	 4495.17 	 1
31 	 4491.33 	 1
32 	 4491.26 	 1
33 	 4478.52 	 1
34 	 4494.22 	 1
35 	 4492.16 	 1
36 	 4474.06 	 1
37 	 4490.85 	 1
38 	 4491.75 	 1
39 	 4467.02 	 1
40 	 4470.32 	 1
41 	 4499.12 	 1
42 	 4620.96 	 1
43 	 4484.6 	 1
44 	 4506.29 	 1
45 	 4502.75 	 1
46 	 4621.18 	 1
47 	 4478.99 	 1
48 	 4486.8 	 1
49 	 4481.07 	 1
50 	 4464.49 	 1
51 	 4502.54 	 1
52 	 4494.98 	 1
53 	 4487.88 	 1
54 	 4494.37 	 1
55 	 4487.56 	 1
56 	 4477.41 	 1
57 	 4489.17 	 1
58 	 4493.14 	 1
59 	 4494.92 	 1
60 	 4499.91 	 1
61 	 4499.23 	 1
62 	 4494.15 	 1
63 	 4501.76 	 1
64 	 4499.54 	 1
65 	 4471.51 	 1
66 	 4483.23 	 1
67 	 4463.74 	 1
68 	 4498.97 	 1
69 	 4498.83 	 1
70 	 4481.97 	 1
71 	 4495.77 	 1
72 	 4499.74 	 1
73 	 4494.4 	 1
74 	 4493.29 	 1
75 	 4495.26 	 1
76 	 4499.05 	 1
77 	 4489.09 	 1
78 	 4495.79 	 1
79 	 4476.08 	 1
80 	 4482.01 	 1
81 	 4501.62 	 1
82 	 4509.41 	 1
83 	 4498.86 	 1
84 	 4491.44 	 1
85 	 4485.18 	 1
86 	 4497.8 	 1
87 	 4493.17 	 1
88 	 4501.74 	 1
89 	 4482.34 	 1
90 	 4494.14 	 1
91 	 4487.45 	 1
92 	 4499.37 	 1
93 	 4499.87 	 1
94 	 4461.59 	 1
95 	 4485.94 	 1
96 	 4474.12 	 1
97 	 4617.17 	 1
98 	 4492.33 	 1
99 	 4494.14 	 1
100 	 4482.53 	 1
101 	 4494.97 	 1
102 	 4487.7 	 1
103 	 4486.98 	 1
104 	 4477.29 	 1
105 	 4476.05 	 1
106 	 4579.99 	 1
107 	 4614.91 	 1
108 	 4486.28 	 1
109 	 4491.16 	 1
110 	 4495.9 	 1
111 	 4489.37 	 1
112 	 4495.61 	 1
113 	 4495.49 	 1
114 	 4493.19 	 1
115 	 4496.76 	 1
116 	 4613.41 	 1
117 	 4488.45 	 1
118 	 4484.94 	 1
119 	 4494.1 	 1
120 	 4484.59 	 1
121 	 4463.82 	 1
122 	 4492.86 	 1
123 	 4490.92 	 1
124 	 4487.35 	 1
125 	 4493.82 	 1
126 	 4495.55 	 1
127 	 4483.86 	 1
128 	 4490.8 	 1
129 	 4488.49 	 1
130 	 4490.95 	 1
131 	 4485.41 	 1
132 	 4468.29 	 1
133 	 4496.12 	 1
134 	 4489.8 	 1
135 	 4496.14 	 1
136 	 4476.01 	 1
137 	 4486.25 	 1
138 	 4458.49 	 1
139 	 4490.76 	 1
140 	 4489.73 	 1
141 	 4488.15 	 1
142 	 4490.95 	 1
143 	 4495.35 	 1
144 	 4491.42 	 1
145 	 4490.66 	 1
146 	 4558.67 	 1
147 	 4483.38 	 1
148 	 4473.87 	 1
149 	 4484.76 	 1
150 	 4492.75 	 1
151 	 4490.71 	 1
152 	 4477.02 	 1
153 	 4490.65 	 1
154 	 4490.63 	 1
155 	 4484.47 	 1
156 	 4487.63 	 1
157 	 4489.08 	 1
158 	 4456.24 	 1
159 	 4481.73 	 1
min 	 max 	 average 
1 		 1 		 1
